id,CON_DS2U,CON_H9,CON_IMR,DS_2DS3,DS_DSP
DTHD1,9.0,4.0,1.0,5.0,9.0
AC104078.2,162.0,7.0,5.0,11.0,13.0
LINC02505,7.0,2.0,4.0,2.0,2.0
AC093746.1,2.0,3.0,1.0,1.0,4.0
LINC02616,6.0,5.0,11.0,9.0,7.0
AL136537.1,2.0,3.0,1.0,3.0,3.0
NWD2,654.0,562.0,239.0,219.0,478.0
C4orf19,721.0,320.0,473.0,102.0,187.0
AC022463.1,30.0,29.0,13.0,3.0,7.0
AC027607.1,1.0,1.0,0.0,1.0,1.0
RELL1,1394.0,848.0,676.0,447.0,947.0
PGM2,1357.0,1253.0,1109.0,1246.0,804.0
TBC1D1,5368.0,4970.0,3030.0,3257.0,5151.0
PTTG2,5.0,5.0,3.0,2.0,12.0
AC098680.2,0.0,0.0,0.0,0.0,0.0
AC098680.1,0.0,0.0,0.0,0.0,0.0
LINC02513,23.0,41.0,25.0,5.0,2.0
LINC01258,17.0,32.0,24.0,24.0,15.0
LINC01259,3.0,1.0,3.0,2.0,1.0
LINC02278,0.0,0.0,0.0,0.0,0.0
KLF3-AS1,2972.0,2359.0,2777.0,2800.0,2462.0
AC021860.1,1.0,1.0,0.0,2.0,0.0
KLF3,2147.0,1948.0,2222.0,1258.0,1418.0
TLR10,2.0,2.0,2.0,0.0,4.0
TLR1,17.0,11.0,63.0,14.0,5.0
TLR6,2.0,4.0,4.0,2.0,2.0
FAM114A1,667.0,422.0,592.0,202.0,526.0
TMEM156,11.0,14.0,22.0,15.0,9.0
KLHL5,5780.0,6009.0,5804.0,5928.0,7996.0
AC079921.1,1419.0,1453.0,1419.0,1450.0,2012.0
AC079921.2,10.0,8.0,7.0,5.0,13.0
WDR19,3067.0,2239.0,3061.0,2923.0,2679.0
RFC1,5826.0,4862.0,5161.0,3530.0,4484.0
KLB,13.0,57.0,29.0,25.0,31.0
RPL9,152447.0,164564.0,177337.0,131637.0,106683.0
LIAS,1732.0,1460.0,1745.0,1738.0,1422.0
UGDH,3143.0,2571.0,2934.0,2906.0,2425.0
UGDH-AS1,1535.0,1407.0,1763.0,1647.0,1447.0
AC021148.2,33.0,24.0,36.0,31.0,26.0
SMIM14,5634.0,4802.0,6226.0,6419.0,4599.0
AC108471.3,66.0,100.0,104.0,80.0,75.0
AC108471.2,375.0,318.0,363.0,337.0,226.0
UBE2K,13002.0,11910.0,12569.0,12901.0,13574.0
PDS5A,13871.0,12314.0,14025.0,12771.0,13036.0
N4BP2,9705.0,9178.0,10051.0,6602.0,7724.0
AC095057.3,390.0,426.0,438.0,313.0,347.0
AC095057.4,63.0,110.0,78.0,62.0,48.0
RHOH,94.0,102.0,135.0,21.0,26.0
AC095057.2,0.0,0.0,0.0,0.0,0.0
LINC02265,168.0,258.0,286.0,96.0,182.0
CHRNA9,3.0,14.0,11.0,9.0,7.0
RBM47,1126.0,1000.0,1084.0,52.0,284.0
AC098869.2,1.0,0.0,0.0,0.0,0.0
AC131953.2,25.0,34.0,49.0,10.0,45.0
NSUN7,2053.0,1649.0,2159.0,1591.0,1345.0
APBB2,10610.0,9357.0,10634.0,10340.0,13812.0
AC131953.1,54.0,73.0,88.0,76.0,63.0
