"","res_list.IN_2.pvalue","res_list.IN_1.pvalue","res_list.IN.pvalue","res_list.nIN_1.pvalue","res_list.nIN.pvalue","res_list.nEN_1.pvalue","res_list.nEN.pvalue","res_list.IPC.pvalue","res_list.MGE.pvalue","res_list.RG.pvalue","Mean"
"PRDM16-DT",0.208364831825953,0.989552541503208,0.213216999532681,0.378298460590386,0.917970226205859,0.994248316778302,0.638563863156022,0.751545733147488,0.337376076658123,0.662241035532276,0.60913780849303
"PRDM16",0.569837169476189,0.377633507692847,0.0342905823447381,0.254586489358965,0.179802123135056,0.862904208678934,0.637524509638041,0.276117296355632,0.224248193201588,0.353557143368485,0.377050122325048
"MEGF6",0.770516909046479,0.434344535881442,0.968229149605288,0.333050728955415,0.677040485466297,0.399941600063686,0.971240904357392,0.894153333855219,0.217353557261513,0.561501478954084,0.622737268344681
"TPRG1L",0.257644783116317,0.882904537545251,0.574667648185991,0.958816534737195,0.878819542214823,0.272991092105988,0.889213297130604,0.982792031130153,0.459723479106223,0.609549986820632,0.676712293209318
"WRAP73",0.969148877807707,0.992649441972596,0.62244418955253,0.633598487392759,0.396124825256467,0.798370649017385,0.3192345046294,0.739204295348064,0.908541901177274,0.70470902354014,0.708402619569432
"TP73",0.497391511112431,0.890251736566537,0.536752153883279,0.634877572600878,0.195206072352423,0.210192177833782,0.913270970389512,0.119907536709925,0.634494302031108,0.915066897481876,0.554741093096175
"LRRC47",0.193838013970933,0.485243899545694,0.177724792838768,0.847721467185952,0.835677414307876,0.764220209866962,0.733232215510959,0.532185203446136,0.60897771283377,0.865413050708124,0.604423398021517
"CEP104",0.462415542739857,0.210607065537943,0.581277764489224,0.155962274603457,0.891808781102066,0.144162510536553,0.21273100531767,0.088486515330962,0.901437355061773,0.156569722619962,0.380545853733947
"DFFB",0.643178955893646,0.785104762040625,0.972569889796657,0.172694508843008,0.771907479545136,0.409220062855592,0.164189522311569,0.258339329975362,0.851196989293952,0.909032676054644,0.593743417661019
"C1orf174",0.673490192639901,0.737795986757231,0.858533329178042,0.776482642620815,0.352395316141576,0.762517602303481,0.880795478728609,0.177447531272216,0.0698749365807497,0.632548851250595,0.592188186747322
"AJAP1",0.925510929628232,0.951032155199638,0.680739146860586,0.595833654191905,0.809741772314346,0.378259253598335,0.954479248716211,0.574913147582559,0.66193467476725,0.404839992160824,0.693728397501989
"NPHP4",0.747750677049865,0.978891606988324,0.528650222039851,0.629332629023516,0.253441174939874,0.374624921908511,0.315004589307706,0.927310638498106,0.201002273049859,0.957294082580669,0.591330281538628
"KCNAB2",0.90394671663551,0.905548486545968,0.856887986784131,0.194035479616856,0.287078528522433,0.206921039513847,0.935148815263155,0.863179542643121,0.642736856511082,0.628733122882893,0.6424216574919
"CHD5",0.217183159854023,0.430529927177942,0.357688216082153,0.454294659280705,0.615911097991548,0.714818088420834,0.466196293361609,0.45598014713873,0.692575412097312,0.0218723106644749,0.442704931206933
"RPL22",0.162852014837885,0.850295311538782,0.0422057732737511,0.138956530723587,0.653610640537675,0.717056612934803,0.762425236904354,0.244655184019155,0.0758357133915052,0.0490001213744797,0.369689313953598
"ICMT",0.581181682795999,0.737625702936686,0.822203284979335,0.817462837542974,0.729610867828502,0.461582894446447,0.266624052899651,0.94669538973481,0.392183134801244,0.742032412731082,0.649720226069673
"GPR153",0.764567762211049,0.986030854761705,0.871344745347967,0.431438776631347,0.311068140789442,0.645874148040163,0.486980464993459,0.881200241501644,0.00786936004496611,0.815722815456328,0.620209730977807
"ACOT7",0.669299814390068,0.632668132794011,0.186125697179151,0.620064934011618,0.172315693454263,0.463862961633417,0.405987875491082,0.8618636835196,0.00389894386973224,0.4455026200834,0.446159035642634
"TNFRSF25",0.762080510797609,0.240979549469271,0.786871145996725,0.690992050902025,0.391621905010006,0.482446565894182,0.224313503759889,0.888762116954267,0.922888077753151,0.385839311505077,0.57767947380422
"PLEKHG5",0.123256107488657,0.77390965399847,0.695676283023199,0.168326936921405,0.764168444661865,0.67845271383405,0.379626193007991,0.325499971851964,0.776394284308817,0.882312238977863,0.556762282807428
"NOL9",0.473416833166671,0.857426837485557,0.661592859409813,0.996949371235238,0.633095921724822,0.177419566634293,0.845520202080533,0.291057505027096,0.674818514735665,0.623576351229932,0.623487396272962
"ZBTB48",0.570081734745943,0.680700608515201,0.0793456572957168,0.659024398376689,0.93586688334704,0.973792339967301,0.899409721054949,0.694833517687152,0.861559923556775,0.822366742611856,0.717698152715862
"KLHL21",0.485770462183238,0.899480080791453,0.619547259345937,0.882206084705923,0.765165181182699,0.332771889565876,0.35568827535285,0.855511822397378,0.541569504429684,0.325444964520124,0.606315552447516
"PHF13",0.940804859419039,0.951491847781173,0.449827056809298,0.676373952973935,0.315745757458419,0.0139343165362129,0.773607147599188,0.581647085821759,0.596899859750355,0.911280180715302,0.621161206486468
"THAP3",0.797367299895847,0.503450875145759,0.981194857661501,0.924090993672043,0.901735352114814,0.2980788786664,0.710297959426839,0.202728602780751,0.518155028301514,0.938946069706122,0.677604591737159
"DNAJC11",0.784698207059038,0.98002682328846,0.354472383204573,0.0336025292227334,0.707693967608178,0.825913314162307,0.774701180081572,0.79841397871884,0.499904317694649,0.445580178085945,0.620500687912629
"CAMTA1",0.363732998088859,0.966635895951939,0.439921012506597,0.280433200782678,0.680451795444767,0.63232416080354,0.783465890092642,0.400657795774109,0.0608368514305223,0.216425381113855,0.482488498198951
"AL512330.1",0.866436849530972,0.194564867371085,0.518474974426164,0.784687736403553,0.361885058212424,0.0132820676521458,0.178815734913195,0.295673579257641,0.335647368776391,0.100171151889675,0.364963938843325
"VAMP3",0.860899168283897,0.595167433043077,0.958702527563376,0.130464631822144,0.573913329904854,0.227941925298583,0.950066959293019,0.750033130986125,0.949378820143544,0.988154037908783,0.69847219642474
"PER3",0.0837035212465422,0.446833112507567,0.992397437715256,0.0503903897066133,0.610533277782023,0.723819626241531,0.487178201538669,0.960148859425034,0.626996006020937,0.361428264663124,0.53434286968473
"PARK7",0.540056151054981,0.951824603927031,0.467149345359092,0.399632316962293,0.981868515641663,0.345787823011622,0.191927015296088,0.929254753906747,0.441741692216555,0.161562427206619,0.541080464458269
"ERRFI1",0.416327833910717,0.750621636439699,0.795662096547135,0.999558857022703,0.739868813886551,0.251303651309344,0.319901480253189,0.379313930139139,0.714318112850303,0.910891308495254,0.627776772085403
"SLC45A1",0.784349276991327,0.776022700869068,0.638954200100121,0.421847784406566,0.17032140169909,0.74627170486234,0.361617724056144,0.246773540078968,0.921857778419975,0.319673432258009,0.538768954374161
"RERE",0.543172541961679,0.057464907746746,0.784973274637891,0.102823655756863,0.743972979133773,0.987610830369069,0.384875332513309,0.47810512990955,0.184100570574127,0.462815462084593,0.47299146846876
"RERE-AS1",0.423689647207852,0.960875949483488,0.800765337120816,0.788034609430768,0.942799798478798,0.576664381712541,0.78510608212054,0.491775196793833,0.433110959434036,0.679559084914526,0.68823810466972
"ENO1",0.0105701633986744,0.170050313956871,0.0842755496783586,0.41748503669469,0.182491220408088,0.81298766272829,0.58631076104207,0.0525640312024932,0.019063008699126,0.10706637058383,0.244286411839249
"MIR34AHG",0.585976548616786,0.625304489031764,0.373314529030518,0.413579800181232,0.892273914366636,0.350265116341714,0.471382898075984,0.588720341596248,0.308274919076359,0.623241450441622,0.523233400675886
"LNCTAM34A",0.976759058831072,0.843166647284907,0.755332864223791,0.334627341421879,0.746519896375268,0.130396289870634,0.804657927829662,0.761353231538634,0.226149311970663,0.523929479328639,0.610289204867515
"H6PD",0.72521981863515,0.654062197457288,0.0188358743919574,0.273534734161658,0.972736789447629,0.0760688011617034,0.059855171666984,0.883184132521649,0.242392762774234,0.828347497860116,0.473423778007837
"SLC25A33",0.169460891633105,0.909353432656995,0.0450824286847731,0.628798938501039,0.796509975731436,0.567252625758971,0.429152555777072,0.962443154283459,0.24685550625459,0.70599944963199,0.546090895891343
"TMEM201",0.474468674931851,0.755803662428733,0.479194764648052,0.285918330825413,0.423373901631373,0.637684162874067,0.555512546404749,0.633473690834009,0.873130836033373,0.47130449584975,0.558986506646137
"PIK3CD",0.436443177540864,0.153684432369016,0.422611631426327,0.975494785115884,0.496907924855448,0.419026796899195,0.0524085244641426,0.929592065532841,0.215349387873919,0.954647219706351,0.505616594578399
"CLSTN1",0.551134894669046,0.70321808612513,0.147261851413624,0.108297933683687,0.732125801387794,0.954090305277176,0.467118256333337,0.956446864914442,0.100806621709984,0.86844676456972,0.558894738008394
"CTNNBIP1",0.88604724981214,0.509922265411647,0.695563592264338,0.785964588137465,0.15400139021582,0.292594216029475,0.112921667135371,0.876825977110463,0.763863736810491,0.659992960136973,0.573769764306418
"LZIC",0.814030278937378,0.540612291661734,0.55198532899673,0.260556492173177,0.974243135965369,0.147031324923838,0.531822225449334,0.939384270694631,0.637642489005062,0.352466852710572,0.574977469051782
"NMNAT1",0.188742145680939,0.996837874757561,0.973299406976445,0.990483354449341,0.35749102833994,0.733504715139577,0.678167272609896,0.169276472319229,0.933448756372775,0.623580042738935,0.664483106938464
"UBE4B",0.187301715281238,0.227210885311111,0.578342357743443,0.175470562858733,0.820408628466101,0.953542053885259,0.80378471355129,0.255536552725357,0.679785028277693,0.345425905352946,0.502680840345317
"KIF1B",0.339088549280703,0.307882855174314,0.860260073027075,0.969297433044357,0.559800821617824,0.0946024931421844,0.355548175511342,0.364050326725637,0.374178727348491,0.00796550729560506,0.423267496216753
"PGD",0.334370322399617,0.3152472767719,0.835265416935206,0.938629809445591,0.476594159489268,0.953168432626797,0.682811615299959,0.387721567749326,0.535459980710161,0.437678929309956,0.589694751073778
"CENPS",0.374733232686203,0.794190265347608,0.292631745707087,0.0394459733971287,0.829001158216168,0.149554895321548,0.862508284115188,0.818993502432769,0.856504981417756,0.901435716358405,0.591899975499986
"DFFA",0.751590176794308,0.617704372754274,0.803846172003585,0.656250411484605,0.436391000401903,0.0838023903256579,0.725453931006194,0.16994137573661,0.113933505609511,0.22197473704222,0.458088807315887
"PEX14",0.954395193032789,0.782394582114,0.728523822143861,0.284755249411941,0.451594956779297,0.92601479431637,0.690393452682341,0.974315538422013,0.939629371971458,0.887697498421905,0.761971445929598
"CASZ1",0.0531180452666023,0.981384782666739,0.184239725714398,0.285518025631634,0.32233156269675,0.738807134320022,0.581444268431006,0.136984607000496,0.0948733837901005,0.104206646523337,0.348290818204108
"TARDBP",0.331499064625997,0.985884189145665,0.409346931756914,0.989374318728307,0.534478301323436,0.413196786880796,0.990672822795199,0.811578970719459,0.929123625761367,0.772101652490404,0.716725666422754
"AL109811.2",0.74272282724478,0.700809251803748,0.999880763182748,0.827886884643368,0.911547354264366,0.530394368308664,0.682035087521251,0.727016377193412,0.480775235906771,0.988178078838565,0.759124622890767
"SRM",0.496252057891279,0.917959171608211,0.650580862144204,0.927805771623387,0.788572722886923,0.889044793729115,0.37642925959593,0.804769938013776,0.766289267476113,0.273911094278937,0.689161493924787
"EXOSC10",0.456966178191261,0.43578951032727,0.885754871179328,0.670546249062716,0.612316378035293,0.63984433763516,0.66876138046069,0.453209078150385,0.704584332594617,0.901729885323367,0.642950220096009
"AL109811.1",0.817194046019248,0.503878464829059,0.909648559778351,0.277559236109013,0.920633951254303,0.1748112340016,0.543904875093252,0.873867209254848,0.635415521592624,0.361896731939698,0.6018809829872
"MTOR",0.166584260649962,0.445305961460067,0.663550625537662,0.920222267222593,0.81315384074058,0.485813861324089,0.970833529802504,0.36534589873649,0.582235389290801,0.207024953073401,0.562007058783815
"UBIAD1",0.7062159239477,0.717651987997855,0.855970863283026,0.260775556939532,0.288682507720467,0.624835061865208,0.198581828261438,0.672266187380583,0.41626301191995,0.373484933876938,0.51147278631927
"DISP3",0.592851848112695,0.801836985731409,0.41141861914012,0.92481617169284,0.464117386839715,0.173228625980695,0.590760844643961,0.229278748262408,0.00148725668561123,0.00635153531255983,0.419614802240202
"FBXO2",0.0313052582619741,0.0335117987716781,0.610959047679524,0.643215551573915,0.930345950394819,0.523421747225222,0.860027920801188,0.772658447128716,0.667658177918726,0.405155595642371,0.547825949539813
"FBXO44",0.519806903981591,0.797587486595271,0.875342166452948,0.1882775682328,0.491269338531538,0.528293974561675,0.536322688688483,0.30781389102872,0.179748941297074,0.158127427807229,0.458259038717733
"MAD2L2",0.76023865897196,0.927066378665434,0.645036936479679,0.240503125305363,0.764065206900234,0.384720983182277,0.509188347477627,0.651215936115694,0.295365299024136,0.476957833904705,0.565435870602711
"DRAXIN",0.30968395961417,0.390620995851746,0.351193297279812,0.204815293099898,0.707179973161401,0.043950063670826,0.784177340681398,0.950240202329151,0.0401556246871754,0.778118137503306,0.456013488787888
"AGTRAP",0.363763895466962,0.981184196987334,0.373902773758502,0.0898878329141683,0.54752713787277,0.725010635178968,0.17555906745798,0.949566558462971,0.0208763612966751,0.100214664689626,0.432749312408596
"MTHFR",0.786282344243664,0.779117297190044,0.316230894294675,0.718738551946528,0.561273814983267,0.762210153881586,0.378590733968103,0.352874104055454,0.192163231854777,0.137245861106899,0.4984726987525
"CLCN6",0.165222643301233,0.280609125453792,0.243201742432222,0.915929552132227,0.200768322180282,0.159221092496558,0.0535532435449756,0.118302984098094,0.933421538458152,0.0222532195506511,0.309248346364819
"NPPA",0.875460492787716,0.893895267136305,0.161052630414238,0.748709604534088,0.611178742080109,0.0972953965068443,0.448162844622789,0.931636395209215,0.0544338846009212,0.891640041229583,0.571346529912181
"KIAA2013",0.923401207975778,0.547559684730205,0.410034140590339,0.801185822876469,0.442677385182311,0.696760062951838,0.942469912589066,0.619482276786306,0.947214917249706,0.769049410873042,0.709983482180506
"PLOD1",0.56430456096984,0.61760094758322,0.422609839546905,0.785254585840759,0.350481274070566,0.943479154040778,0.487195936082698,0.0455598737066899,0.953301874858602,0.855445977294916,0.602523402399497
"MFN2",0.649544919822526,0.897921321218849,0.774909999377807,0.0299069341473344,0.713496069852007,0.50041398313107,0.628848731813385,0.67770450608759,0.976281287778076,0.42915480579843,0.627818255902707
"MIIP",0.62693221571606,0.998487623240323,0.745789669517523,0.294549776930076,0.393421173109339,0.552362412450901,0.918498219091103,0.65514350194734,0.13424221694394,0.891971448748215,0.621139825769482
"VPS13D",0.536857502322355,0.378086812898268,0.934628602430973,0.340051999674939,0.553074887268079,0.405088000192034,0.966853623573772,0.955233096244076,0.412513600010586,0.139610773566825,0.562199889818191
"DHRS3",0.00529362970232745,0.389687635752968,0.437672624693885,0.554776631209889,0.732091064985017,0.283823953782936,0.479414487318155,0.0205808048811277,0.673332268366762,0.120104748069334,0.36967778487624
"PDPN",0.667760235220471,0.0677026975709308,0.890912571262921,0.291896381288244,0.67738273694545,0.523829395948225,0.662069817943531,0.101836871300529,0.371071423470679,0.0495898475562391,0.430405197850722
"PRDM2",0.928288563286385,0.581537644792796,0.91740248351712,0.289663291685739,0.709838998243001,0.987783093509885,0.814086142161753,0.711195751119126,0.619639278178367,0.89836837215086,0.745780361864503
"KAZN",0.377037565356997,0.518456652795528,0.0659747380101653,0.599166334296312,0.538454927771575,0.0211206304967315,0.482255795272626,0.443423233319762,0.803315604357394,0.0140761630138379,0.386328164469093
"AL357873.1",0.462144075542274,0.0925002114379421,0.725408101846696,0.672207044628257,0.748839890076303,0.787126848643735,0.688768481463129,0.0919343165250845,0.476094397122824,0.670732040391008,0.541575540767725
"KAZN-AS1",0.986879935437744,0.655263898186649,0.867482665767457,0.770089436695124,0.252686448063899,0.835461134966919,0.960230829143949,0.269136935566799,0.932101166557931,0.5710388509134,0.710037130129987
"AL031293.1",0.869711507867581,0.534787020387025,0.911306215601038,0.634388491262084,0.548871668535176,0.239779175665376,0.734049809633643,0.0822266455459462,0.666906841326063,0.0886097037896768,0.531063707961361
"FHAD1",0.195339218476245,0.255360299434386,0.72245356510346,0.727786316655676,0.985512351956472,0.474289569096656,0.763108446700806,0.415544062686618,0.188937347055079,0.832212458821827,0.556054363598722
"EFHD2",0.435258010381102,0.817634219131292,0.616148617834303,0.886166030008815,0.396677706313821,0.697664911876458,0.723381322162894,0.719913584897376,0.504801431992113,0.631575607438431,0.64292214420366
"CASP9",0.587077686840153,0.575139293489678,0.310651346101606,0.505122926403265,0.121475765534915,0.562546762256219,0.79672047098776,0.735862236650605,0.909556699909866,0.967923505293565,0.607207669346763
"DNAJC16",0.894812446018127,0.44865526645228,0.578837430306201,0.977538794242846,0.987055950484141,0.0772542497026998,0.558113760675862,0.249687022214663,0.840308018959397,0.173073080869673,0.578533601992589
"DDI2",0.898569483989117,0.645796831415323,0.492412490891818,0.0559748826405296,0.881962320069496,0.734028848662587,0.230947439087549,0.88045509751382,0.545822043814793,0.378899005284264,0.57448684433693
"PLEKHM2",0.763321742909543,0.486244090923243,0.2807497885697,0.307028035542839,0.675378453528674,0.212214166140229,0.418218531698119,0.933693265439409,0.289023108309953,0.716894215178274,0.508276539823998
"FBLIM1",0.477358516114403,0.70804544115218,0.324638538015604,0.935165736317176,0.897315584501417,0.796360578828005,0.698447387975407,0.477416237778989,0.859269098090947,0.0560092169229675,0.62300263356971
"UQCRHL",0.168769599878932,0.355424319459466,0.373655229394987,0.428359503295873,0.125928615207502,0.26288538587687,0.483263194907941,0.128557605094585,0.11832316432575,0.36746697572196,0.281263359316386
"AL450998.2",0.530833538911966,0.363053217141081,0.795989906743941,0.593491463521423,0.702691005211427,0.525888590906686,0.992888532769069,0.871074908940767,0.692239056561577,0.970820244076208,0.703897046478414
"SPEN",0.130577433866218,0.529562198382383,0.378213953424486,0.65756433485225,0.41624605488833,0.506871856732923,0.505275495506422,0.734436926557197,0.846962111435711,0.743641503105404,0.544935186875133
"ZBTB17",0.200172540927172,0.68421151448391,0.461143389018054,0.00750155419229042,0.280619992509861,0.617455180866402,0.536621562057895,0.629082638576205,0.0847687076470683,0.0935455788860333,0.359512265916489
"EPHA2",0.197740058242384,0.988688936847059,0.158071675087787,0.15423442700266,0.0483343832402498,0.767282848854662,0.663709007404833,0.347162600621151,0.0208377893838223,0.751016701078433,0.409707842776304
"FBXO42",0.811951052211557,0.894457413572082,0.498599937675332,0.798161282252578,0.331464054628261,0.244963474668897,0.227157659916183,0.625650789509619,0.008120165091888,0.00328590922840174,0.44438117387548
"SZRD1",0.86706325320047,0.954792579045448,0.0419734022897786,0.0114079347001788,0.399237956139461,0.977027808750983,0.113296363911131,0.956483499655002,0.67003120769388,0.985598074760959,0.597691208014729
"SPATA21",0.992885319499471,0.823627338653431,0.928877429926548,0.658686363216249,0.554560342685446,0.67192164370286,0.781296091864579,0.55334356460477,0.343039669242123,0.86263997482225,0.717087773821773
