source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
PRKCB,MSX2,True,False,False,False,False,False,3,PhosphoSite:22633971;ProtMapper:22633971;iPTMnet:22633971,MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,22633971,1,9,4
GSK3B,FOXP3,True,False,False,False,False,False,1,PhosphoSite:27432879,PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,post_translational,27432879,1,4,2
PIM1,FOXP3,True,False,False,False,False,False,3,PhosphoSite:25096571;ProtMapper:25096571;ProtMapper:29093649,PhosphoSite;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;Sparser_ProtMapper,post_translational,25096571;29093649,2,5,2
ESPL1,RAD21,True,True,True,True,True,False,7,ACSN:12297314;ACSN:17604273;ACSN:19342897;ACSN:19758559;ACSN:20144767;DIP:15737063;ELM:11509732,ACSN;DIP;ELM;Wang,post_translational,11509732;12297314;15737063;17604273;19342897;19758559;20144767,7,4,4
EP300,CTBP2,True,False,False,False,False,False,2,HPRD:16356938;iPTMnet:16356938,HPRD;iPTMnet,post_translational,16356938,1,2,2
KAT5,FOXP3,True,True,False,True,True,False,1,BioGRID:17360565,BioGRID;Wang,post_translational,17360565,1,2,2
CDKN2A,CTBP2,True,False,False,False,False,False,2,ACSN:16508011;Lit-BM-17:16508011,ACSN;Lit-BM-17,post_translational,16508011,1,2,2
CDKN2A,CTBP2,True,False,False,False,False,False,2,ACSN:16508011;Lit-BM-17:16508011,ACSN;Lit-BM-17,post_translational,16508011,1,2,2
MECOM,CTBP2,True,True,False,True,True,False,1,HPRD:9724649,HPRD;Wang,post_translational,9724649,1,2,2
CIITA,NFYB,True,True,False,True,True,False,1,HPRD:11003667,HPRD;Wang,post_translational,11003667,1,2,2
TAF1,MSX1,True,False,False,False,False,False,1,HPRD:8700832,HPRD;PhosphoPoint,post_translational,8700832,1,2,2
HIPK2,CTBP2,True,False,False,False,False,False,2,ProtMapper:25659434;ProtMapper:28532298,PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper,post_translational,25659434;28532298,2,4,1
GSK3B,USF1,True,False,False,False,False,False,0,,PhosphoSite_noref,post_translational,,,1,0
INS,USF1,True,False,False,False,False,False,1,ProtMapper:23219531,ProtMapper;REACH_ProtMapper,post_translational,23219531,1,2,1
GSK3A,USF1,True,False,False,False,False,False,0,,PhosphoSite_ProtMapper;ProtMapper,post_translational,,,2,1
MAPK11,USF1,True,True,False,True,True,False,1,ProtMapper:11532965,NCI-PID_ProtMapper;ProtMapper;Wang,post_translational,11532965,1,3,2
HDAC8,RAD21,True,False,False,False,False,False,0,,ProtMapper;Reactome_ProtMapper,post_translational,,,2,1
CDK2,FOXP3,True,False,False,False,False,False,1,ProtMapper:26441996,ProtMapper;REACH_ProtMapper,post_translational,26441996,1,2,1
IL2,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
ZNF652,TCF12,True,False,True,True,False,True,0,,Wang,post_translational,,,1,1
HDAC1,FOXP3,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
RB1,NFYB,True,True,False,True,True,False,0,,Wang,post_translational,,,1,1
