IN_1_DS_down,IN_1_DS_up,IN_2_DS_down,IN_2_DS_up,IN_DS_down,IN_DS_up,IPC_DS_down,IPC_DS_up,MGE_DS_down,MGE_DS_up,nEN_1_DS_down,nEN_1_DS_up,nEN_DS_down,nEN_DS_up,nIN_1_DS_down,nIN_1_DS_up,nIN_DS_down,nIN_DS_up,RG_DS_down,RG_DS_up,IN_1_DS_down_TFs,IN_1_DS_up_TFs,IN_2_DS_down_TFs,IN_2_DS_up_TFs,IN_DS_down_TFs,IN_DS_up_TFs,IPC_DS_down_TFs,IPC_DS_up_TFs,MGE_DS_down_TFs,MGE_DS_up_TFs,nEN_1_DS_down_TFs,nEN_1_DS_up_TFs,nEN_DS_down_TFs,nEN_DS_up_TFs,nIN_1_DS_down_TFs,nIN_1_DS_up_TFs,nIN_DS_down_TFs,nIN_DS_up_TFs,RG_DS_down_TFs,RG_DS_up_TFs,IN_1_DS_down_HSA21,IN_1_DS_up_HSA21,IN_2_DS_down_HSA21,IN_2_DS_up_HSA21,IN_DS_down_HSA21,IN_DS_up_HSA21,IPC_DS_down_HSA21,IPC_DS_up_HSA21,MGE_DS_down_HSA21,MGE_DS_up_HSA21,nEN_1_DS_down_HSA21,nEN_1_DS_up_HSA21,nEN_DS_down_HSA21,nEN_DS_up_HSA21,nIN_1_DS_down_HSA21,nIN_1_DS_up_HSA21,nIN_DS_down_HSA21,nIN_DS_up_HSA21,RG_DS_down_HSA21,RG_DS_up_HSA21
,,HMGN3,,,,,,PCDHB5,GNG4,,,,,,,,,SLC17A6,EPHB1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PDE9A,,,,,,,,,,
,,CHCHD2,,,,,,ID4,CEP170,,,,,,,,,RPS3,TNIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GATD3A,,,,,,,,,,
,,SFMBT2,,,,,,CARMIL1,AKT3,,,,,,,,,SYT1,ANK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRMT2,,,,,,,,,,
,,PAUPAR,,,,,,B3GAT2,KIF3C,,,,,,,,,AC027288.3,TRIM2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CNTN5,,,,,,FILIP1,REEP1,,,,,,,,,RMST,SCRG1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,ZBTB16,,,,,,REV3L,SH3RF3,,,,,,,,,LHX5,LINC02223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,DYRK4,,,,,,FABP7,RND3,,,,,,,,,LHX5-AS1,NIM1K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SOX5,,,,,,PLAGL1,KCNH7,,,,,,,,,DNAJC15,CCZ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,IFI27L2,,,,,,CHCHD2,AC019197.1,,,,,,,,,CCDC85C,GLCCI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,AC012409.2,,,,,,FAM92A,SCN3A,,,,,,,,,RPL13,DLX6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SLC9A3R1,,,,,,NCALD,GAD1,,,,,,,,,EIF5A,LHFPL3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
