source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
DAXX,MDM2,True,True,False,True,True,False,15,DIP:21134643;HPRD:16845383;IntAct:15364927;IntAct:16845383;IntAct:18566590;IntAct:18583933;IntAct:20195357;Lit-BM-17:15364927;Lit-BM-17:16845383;Lit-BM-17:18566590;Lit-BM-17:18583933;Lit-BM-17:20195357;Lit-BM-17:23038753;Lit-BM-17:23405218;SIGNOR:23405218,DIP;HPRD;IntAct;Lit-BM-17;SIGNOR;Wang,post_translational,15364927;16845383;18566590;18583933;20195357;21134643;23038753;23405218,8,6,6
CDKN2A,CDK2,True,False,True,True,False,True,1,SIGNOR:10022885,SIGNOR,post_translational,10022885,1,1,1
BACH1,MAFK,True,True,False,True,True,False,2,HPRD:8887638;SIGNOR:19011633,HPRD;SIGNOR,post_translational,19011633;8887638,2,2,2
TP53,CDK1,True,True,False,False,False,False,4,BioGRID:11327730;DIP:9467949;ELM:2141171;HPRD:11327730,BioGRID;DIP;ELM;HPRD,post_translational,11327730;2141171;9467949,3,4,4
CDK1,TP53,True,True,False,True,True,False,19,BioGRID:11327730;DIP:9467949;ELM:2141171;HPRD:11327730;KEA:17570479;KEA:7862459;ProtMapper:11078726;ProtMapper:12767922;ProtMapper:1584757;ProtMapper:20661218;ProtMapper:20808790;ProtMapper:2156209;ProtMapper:26029996;ProtMapper:27726420;ProtMapper:8357826;ProtMapper:9467949;SIGNOR:24173284;iPTMnet:11078726;iPTMnet:20808790,BioGRID;DIP;ELM;HPRD;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoPoint;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,post_translational,11078726;11327730;12767922;1584757;17570479;20661218;20808790;2141171;2156209;24173284;26029996;27726420;7862459;8357826;9467949,15,20,10
CDK1,RUNX1,True,True,True,True,True,False,13,PhosphoSite:18003885;PhosphoSite:21059642;ProtMapper:16046550;ProtMapper:17015473;ProtMapper:19386523;ProtMapper:21059642;ProtMapper:25914884;SIGNOR:16046550;SIGNOR:17015473;SIGNOR:21059642;iPTMnet:16046550;iPTMnet:17015473;iPTMnet:21059642,HPRD_MIMP;MIMP;PhosphoSite;PhosphoSite_MIMP;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;iPTMnet,post_translational,16046550;17015473;18003885;19386523;21059642;25914884,6,11,5
SRC,PTPN6,True,True,True,True,True,False,30,Adhesome:9261115;BioGRID:14699166;HPRD:12468645;HPRD:8647855;HPRD:9261115;InnateDB:9261115;KEA:10488096;KEA:10574931;KEA:12468540;KEA:14699166;KEA:14757045;KEA:7512963;KEA:8114715;KEA:8692915;PhosphoSite:10488096;PhosphoSite:12468540;PhosphoSite:14551136;PhosphoSite:14699166;PhosphoSite:16649996;PhosphoSite:17675340;PhosphoSite:25535246;PhosphoSite:34010642;PhosphoSite:7512963;PhosphoSite:8114715;ProtMapper:14699166;ProtMapper:15212693;ProtMapper:21900501;SIGNOR:14699166;iPTMnet:14699166;phosphoELM:14699166,Adhesome;BEL-Large-Corpus_ProtMapper;BioGRID;HPRD;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;Li2012;MIMP;PhosphoPoint;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10488096;10574931;12468540;12468645;14551136;14699166;14757045;15212693;16649996;17675340;21900501;25535246;34010642;7512963;8114715;8647855;8692915;9261115,18,24,14
PTPN6,SRC,True,True,True,False,False,False,14,Adhesome:9261115;BioGRID:14699166;DEPOD:9261115;HPRD-phos:12468645;HPRD-phos:8647855;HPRD-phos:9261115;HPRD:12468645;HPRD:8647855;HPRD:9261115;InnateDB:9261115;ProtMapper:17974954;ProtMapper:9261115;SIGNOR:17974954;SIGNOR:9261115,Adhesome;BioGRID;DEPOD;HPRD;HPRD-phos;InnateDB;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang,post_translational,12468645;14699166;17974954;8647855;9261115,5,10,9
SRC,AKT1,True,True,False,True,True,False,16,Adhesome:11445557;Adhesome:12600984;Adhesome:18283331;HPRD-phos:11445557;HPRD:11445557;InnateDB:18283331;KEA:11445557;KEA:12600984;Lit-BM-17:23242524;Lit-BM-17:25241761;ProtMapper:11445557;ProtMapper:12600984;SIGNOR:11445557;SIGNOR:12600984;iPTMnet:11445557;iPTMnet:12600984,Adhesome;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;Lit-BM-17;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;Wang;iPTMnet;phosphoELM_KEA,post_translational,11445557;12600984;18283331;23242524;25241761,5,19,12
AKT1,SRC,True,True,False,False,False,False,7,Adhesome:11445557;Adhesome:12600984;Adhesome:18283331;HPRD:11445557;InnateDB:18283331;Lit-BM-17:23242524;Lit-BM-17:25241761,Adhesome;HPRD;InnateDB;Lit-BM-17;PhosphoPoint,post_translational,11445557;12600984;18283331;23242524;25241761,5,5,5
