TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
HLCS,AP001527.2,91.75553033898817,HSA21TF,0.808380595797371,None,Not Known
SOD1,MT-ND3,73.92988760764923,HSA21TF,0.416754789446342,None,-0.307297396870316
SOD1,GSTP1,71.20291821134319,HSA21TF,0.416754789446342,NeuroDev,-0.0089381204833565
ADARB1,EYA1,63.14639948295745,HSA21TF,0.686518406640663,NeuroDev,Not Known
SOD1,SPINT2,62.67112777431081,HSA21TF,0.416754789446342,NeuroDev,-0.172464442109114
SOD1,MT-ND2,60.80730598404587,HSA21TF,0.416754789446342,None,-0.478448400940699
