"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AL162493.1",77.1451157766111,5.00147852974031,0.551804512410069,9.06385942350449,1.25914656512984e-19,2.16799855584055e-15,"AL162493.1"
"UNC13C",124.709765670482,2.24237776445613,0.447305187074207,5.01308240828453,5.35649420208743e-07,0.00131754453102202,"UNC13C"
"LRRC4C",765.747205059332,2.19003866865906,0.473932958555619,4.62098832571917,3.81916268452626e-06,0.00597803119110665,"LRRC4C"
"NR2F2-AS1",520.035388524979,-2.13695239927725,0.449459969355198,-4.75448881986743,1.9894915016342e-06,0.00380611829723752,"NR2F2-AS1"
"PDE1A",62.8152301423485,-2.29100164469262,0.514587602920589,-4.45211200520539,8.50297903213452e-06,0.012200357747941,"PDE1A"
"AC012409.2",176.196966345325,-2.39725473571722,0.450657415013514,-5.31946142647033,1.04074875384447e-07,0.000447990301092352,"AC012409.2"
"RNF220",335.749484231084,-2.46758675793021,0.5072043746449,-4.86507388596126,1.14414057506968e-06,0.00246247655269372,"RNF220"
"PAUPAR",74.3119706117579,-3.27075801688447,0.567822198498521,-5.76017990408486,8.40243311855208e-09,7.23365467176148e-05,"PAUPAR"
"CHCHD2",398.280794070509,-6.57233563970922,1.28385253070953,-5.11922941498349,3.06786586447651e-07,0.000880375240909277,"CHCHD2"
