"Gene","IN_2","IN_1","IN","nIN_1","nIN","nEN_1","nEN","IPC","MGE","RG"
"PLEKHG5",-0.725650257645362,0.0479756813982773,0.318781435006207,2.32343652911417,-2.8490329194147,-0.0708437962289177,-0.375869808145529,0.463436835125229,0.146272672336551,0.0112836524388594
"NOL9",0.371999401731524,-0.0775689531049067,0.168091755075992,0.176038438760125,0.081951678314191,-0.511589834534513,0.0397984235760953,-0.223037689934719,-0.130801201930512,0.0919120064705958
"ZBTB48",0.414157265665737,-0.18626163398824,1.02932896821991,-0.272531498522343,0.143896969452221,0.00247341952101159,0.0218090715939735,0.136660745336639,-0.0429111038950768,0.0556915722876091
"KLHL21",0.434041773130606,-0.165124584848704,-0.172085803994317,0.247044894883786,-2.27157134647487,-2.00729271173689,0.416451167110669,-0.259897577881001,0.257791662815606,0.451074862128539
"PHF13",-0.22952523065732,0.615181738457844,0.752750035901739,-0.133395811028587,-2.50334697021542,1.49401829607069,0.0916145035425066,-0.399177404141563,-0.248140128290185,-0.0491992065035504
"THAP3",0.246475880055042,-3.01499329342344,-0.229346513847782,0.114205177356451,0.338890349774479,-0.564162867220224,0.0898669527640819,0.530289395663383,-0.216080897568072,0.0196845306291012
"DNAJC11",0.0183094979544927,-0.219032192101029,0.178048756037495,-3.64076526730426,-0.797614170277459,0.0760901575595998,-0.0743104121813324,-0.0950473729934848,0.150793227744774,0.162231710690515
"CAMTA1",0.177762195790423,0.00711775236395462,0.165507988855785,-0.357414642452821,-0.367467024733735,0.0547117043738785,0.0605411660093722,0.116186009448031,0.344326561578858,0.225308615310705
"AL512330.1",0.177469881902444,1.15841125430447,0.269029539754603,0.0800150166986158,-1.93113159966641,1.44350344820132,0.702503482754753,0.281110843956473,0.545170154955675,0.81616199175645
"VAMP3",0.233832653606124,0.296932678086348,-0.733893317910172,1.02592619715505,-2.33217328281085,-0.903596639865817,-0.321609378507385,0.181954524406755,-0.00276588727009902,-0.0105055140822058
"PER3",-0.616622244037675,-0.0295067269679934,-0.0155104200608217,-3.65977710656423,-2.20821163729257,-0.162554372688581,0.338539483834397,-0.854760639728858,-0.195146144793428,0.329930164172669
"PARK7",-0.296548794841857,-0.00854083594075483,-0.13825180786619,-0.254241687695817,-0.0824094617450264,-0.246767270902538,-0.234442410488095,0.0216192656887551,-0.14907608041497,-0.252316414817956
"ERRFI1",-0.405449798514408,0.514342052911584,0.216933479691963,0.0436947237244262,0.210715758768516,0.546548214127443,0.429864486403416,0.462336998038745,-0.2179783018232,-0.0117714120702083
"SLC45A1",-0.263108224239303,0.0837161670604826,1.66871272107436,1.72102945817484,-2.42710674494534,-0.202228185044504,-0.520065765648965,0.689110049095208,0.0489053462201319,0.365691272017266
"RERE",0.151152585218154,0.479678150972844,-0.0648688068868406,-0.464325036247494,-0.42964386674245,-0.022886084728784,0.195804411327143,0.172356356207702,0.317482906548012,0.178929746221231
"RERE-AS1",0.455446732448374,-0.00450843462064948,-0.652681284645812,0.0800150166986158,0.652546484609632,0.33446847164367,-0.101408818743299,-0.449787225920772,0.348696495457656,-0.138425870123182
"ENO1",-0.871585590049185,-0.462119289138868,-0.831733067087958,-0.289593361327903,-0.438454233284381,-0.128263132376885,-0.243503700610595,-0.691915597530599,-0.781076911357988,-0.630082876877412
"MIR34AHG",-1.36854070384043,-1.00758406316442,0.987373509124794,-2.24208323571612,-2.25190211289265,-1.93159309228215,0.790752942407151,-0.544338819072756,-0.519794506665494,-0.431205375000947
"LNCTAM34A",-0.871748488392323,-0.268219126736959,-0.39624553326482,-2.38901052623176,0.390570139948121,-2.92948396624312,-0.330617832726488,0.306690075519534,-0.887318971246395,-0.472966165437281
"H6PD",0.233514934340414,-0.0295280794494229,-1.02774000778967,-2.62045960503232,-2.50617984322424,-2.6450005955226,-0.812610183674576,0.0590779421983777,-0.459088428293543,0.0577387236222724
"SLC25A33",0.182327903683145,-0.431331073720973,-0.712149097148079,0.00758740080627796,-0.365093508029215,0.146495072919202,-0.232205919869704,0.0491485542670405,-0.36331881858743,-0.140241366553025
"TMEM201",-0.732040779965763,-2.03661410122717,-0.1899123560926,-1.16430290596673,1.08351558901435,-0.551329001189865,-0.245460845243982,-0.211256915542553,-0.263633286653035,-0.346280603259329
"PIK3CD",-0.33604779172894,-2.12674591333511,-0.76408851835323,-0.120172866115033,-1.83454231910675,-0.76257383972367,-1.67225015601471,-0.427128259100605,0.74433854733836,-0.0136545767627175
"CLSTN1",0.112367243329036,-0.183998714445177,-0.608838659166464,0.495794903540833,-0.502653788232929,-0.00567025313256853,-0.152403561293982,-0.0051895322438491,-0.302421045613076,-0.0329076629697883
"CTNNBIP1",-0.0693122786706544,-0.975114858220969,0.451330629406123,-0.194160769408207,0.882533792781881,-0.456476475733577,-0.490254807726825,0.0717754365082916,0.0678202616461472,-0.153977388287938
"LZIC",0.150345775306589,-0.670429832334142,-0.365877535835865,-0.512873807591301,0.226055520675384,-0.42083405306245,-0.160803769137367,-0.0560004397956413,0.0982641314808435,-0.20260964408571
"NMNAT1",-0.657951032126181,0.447812239391736,-0.221688965351952,-2.12839670793477,-2.12833742570006,0.286571758476933,0.166751950842643,-1.09404769952755,0.0811799586063497,0.216193520770124
"UBE4B",0.397697530101086,0.428822114724755,-0.306712858864193,-1.10711666605761,-1.10756599355511,-0.00470950873088505,0.0718974327718473,0.30138998928633,0.118927041128036,0.263769614408687
"KIF1B",0.149105223726967,0.158294706912967,0.0171170645261451,-0.0639338307521442,0.0322638066053269,-0.244979042409756,0.110612153432147,0.110387692160333,-0.099054665047323,0.298897564220593
"PGD",0.220811577688759,0.108882666408757,-0.0551780800023745,0.0372163835884137,-0.0791499654337404,0.0368538478710295,0.110563354055776,0.236979106904711,-0.185946912326696,-0.242064803954547
"CENPS",-0.368068854553683,0.498079086176007,0.618408729339259,-3.68885917919776,-2.4368316518003,-1.04383301768763,-0.306996160384795,-0.127224794433899,-0.0440022232588655,-0.087451972213166
"DFFA",0.138415841097168,-0.0606995755049414,-0.417236441430641,0.192859717885207,-0.45328530997998,-0.623694313452888,0.0404325448275958,-0.338250752519677,-0.357274816955208,-0.253016062629561
"PEX14",-0.0552270175794482,-0.680559710184022,0.120560948445595,1.02982456838657,-3.71394124918278,0.0161573540983615,-0.133981308450808,0.046312002865478,-0.0204627200904685,0.0483698936085033
"CASZ1",-0.884320342572737,0.357509155944022,-2.66902528664985,-1.09059367850764,-0.213365286209154,-1.04337667034115,-1.19198975622566,-2.3191450628038,-1.30454156528822,-1.1415474271624
"TARDBP",-0.297770710077262,-0.138193246354431,-0.287565812173222,0.0190231888232837,-0.152003510641723,-0.248112549743673,0.00850943336657473,0.0978214623787427,-0.0164957555898182,-0.0540031217607324
"AL109811.2",-0.244019142718306,-2.51251293411896,0.425744963303463,0.176734283667535,-2.20358512061506,0.498718055793294,0.221221462724872,-0.085780828064346,-0.46310522786189,-0.00492272759767037
"SRM",0.0861576062395371,-0.704415059342676,-0.0623901322410323,-0.0737926675331202,-0.344964519539065,0.0455616771236785,-0.243310553097077,0.0768357206494009,0.0422503874399913,-0.300832633205238
"EXOSC10",0.388052795416551,-0.115573271577288,0.0663884775496126,-0.24633164921567,0.183429674631433,-0.174672754779218,-0.0785659350278904,0.288489567188923,0.0884630183646127,0.000645275893917198
"AL109811.1",0.349315318017336,0.549235277989588,-0.0808967358522605,-2.52394566562854,-1.97843454559451,-2.43138535477484,-0.672013719127648,-0.128954326994944,-0.21862964097014,0.383375801407379
"MTOR",0.397363986042508,0.353945786129552,-0.10155245240102,0.067864026567676,0.0225964490198008,0.166745915335745,0.00032611584184572,0.176817330913851,0.0969920639887469,0.200835745926971
"UBIAD1",0.116417061089224,0.427173370989987,-0.367230132978297,-0.787267645170496,0.551228692612169,0.242580107683557,0.351535401954117,0.0515733143124519,0.229914762654671,0.233261147848571
"DISP3",-0.337446272002602,0.142575390878111,1.20574269379808,0.0579670179318321,0.502252528461543,-0.978697213567034,-0.184690692891521,0.340180062009859,1.29616898046596,0.897355844466499
"FBXO2",1.73200407614279,-0.526402428767746,1.87082590278363,1.04666544978893,-0.535889222651093,0.633927333189314,0.182956968090255,-0.56243306979329,-0.292377469540982,0.485444337090094
"FBXO44",0.153784689077519,-0.190722984033137,0.215775984577288,0.527402447470317,-2.80122314446889,0.27248127153436,0.222252994230889,0.128864306926341,0.548923871548123,0.457172485921924
"MAD2L2",-0.221372825772525,-0.999563890560885,0.379189770137846,-0.796976535731196,-0.326636860472958,-0.353387358920568,-0.22010532255579,0.223958964321826,0.382669540871497,-0.202376871643101
"DRAXIN",0.443601596568005,0.357537525736821,0.591801057175238,0.847986349585214,0.435944700717889,-0.989381891416844,-0.0376478689015312,-0.0190622534493583,0.857441465579626,0.218160654433653
"AGTRAP",-1.40971061191207,0.953182638735913,-0.846180715624441,-3.54920822049258,-1.72550583766531,0.700465999627059,-1.14226264842474,0.0817009397478669,-1.47932647239167,-1.05277848177987
"MTHFR",-0.0981256904884189,0.167346845515761,0.347131345343463,0.680008029010217,0.277520042442096,0.0775737131984721,0.206058508628122,0.184401871150065,0.36821384422155,0.332931495354782
"CLCN6",0.401690993645403,0.452939909377249,0.122011182629599,0.167627221801544,-0.114811171860355,0.511954006124362,0.472330840563957,0.422609627551624,-0.0199033681859615,0.510979138299639
"NPPA",-0.477936297521546,-1.03660046307253,2.38074391013488,-0.662834430067464,-0.989644616694471,-3.26310293384421,-0.0974300758027806,-0.670178712656112,1.57197880628838,0.0277318581186022
"KIAA2013",0.0301088844021485,0.693374275907865,-0.386220520939504,-0.135684230150881,0.553216750678201,0.180655999232999,-0.0845147243298325,-0.299358372396705,0.0252019070477008,-0.122166743370444
"PLOD1",0.168076793763036,0.800855639235468,-2.0171124339465,-1.85135505933914,1.08284012154829,-0.0452202687099622,-0.437942023418763,-2.29169068026963,-0.0740173087433922,0.11279260645385
"MFN2",0.40458128217963,-0.635956183382684,0.0192952303027082,1.2197227762542,0.228734525243273,-0.307666308569418,-0.1482138024648,0.142567290837151,0.00289596638620019,0.209524478990321
"MIIP",-0.213929493769876,0.225527213697722,0.112839102872846,-0.7455155353385,-3.15424723134018,-0.245320731009199,0.00758581722170648,0.0543190097986225,-0.542544374501659,-0.0491901528108518
"VPS13D",0.120992134228745,0.374359404650282,0.097587956895441,-0.677951282172623,-0.193575829746983,0.20063045881506,0.0244055725413668,0.026324656770133,0.159473234106265,0.262453145340183
"DHRS3",2.79095399502315,-0.6086535209248,0.387047192776966,-1.52725047540964,-0.36507999149919,-2.17406347364788,0.364524867211463,1.76086556382247,0.357604881964135,1.24746878305617
"PDPN",-0.87044128862956,-0.550011224325,-0.150174193016981,0.424354814493016,-2.16452433417213,-1.46290529207483,0.60766298634387,1.00649414502867,0.468748893010412,1.0636581800752
"PRDM2",0.0243946780624267,-0.374118338360444,0.0606199661430174,-0.414790304993445,-0.908997266267048,-0.0101497771752634,0.0575710953196348,-0.0912401288784583,0.114261639770346,0.0269152423684321
"KAZN",0.217902542455647,-0.196051142023568,0.424518249815261,-0.068773319305738,0.135499226669043,0.570466726530167,0.192745488975521,0.198995674243482,-0.0870624993034793,0.586487363497303
"AL357873.1",-0.784707843568909,-3.25767755473064,0.325914092611074,-1.6945482438948,1.80069244727218,-0.240186183771533,0.254854391032434,-2.19686689891568,0.403122563457649,0.113254945740873
"KAZN-AS1",-0.0244065971772319,0.352624369784626,0.0425959005317216,-0.472604457262816,-1.10228778008783,-0.120912926964726,-0.179588390724442,-0.785568094407143,0.250729228957397,0.240465652013284
"AL031293.1",0.138519343005115,-2.338492118806,0.45842260610544,-1.47527631680683,-2.08548123165619,0.833606943759682,0.329249997649557,1.1043518393126,0.196469181789233,0.90810464804484
"FHAD1",-1.22839162359272,0.989252121023662,0.655443535887289,0.57027974020862,-0.603019364068385,-1.55582019834505,0.272322679932556,-1.23317319269106,-0.951526523800467,-0.031450910441601
"EFHD2",-0.360319366624685,-2.28300470687863,1.51222267103864,-2.38754308117678,-1.85263248299028,0.239029231638334,-0.195267614547947,-0.158996285901646,0.281498126683145,-0.183025842555926
"CASP9",-0.480039030773304,-2.31202031622611,-0.732968933028188,-0.643052286285462,-0.347360885545872,0.412526371885745,-0.190378584443682,0.20886536250542,-0.0709680364904441,0.0228184326504168
"DNAJC16",-0.0206864730530354,0.519560163032483,-0.0858802177270525,0.396891489358273,-2.68813922655489,0.772656248225792,0.0932391025247192,0.471635415463117,0.0936134262752904,0.437157830909953
"DDI2",0.106851454397639,-0.519859816874719,-0.322454800589514,-3.07744540526543,0.618313593516107,0.145362723761975,0.406453530724414,-0.0788712417335942,-0.159663841457287,0.230590263186204
"PLEKHM2",0.0376228802170833,0.519349594092519,-0.331976460733927,0.45277500033081,0.0283461958383397,-0.428847120163072,-0.151455716583783,-0.112126399465264,-0.20233511579832,0.0666878012188861
"FBLIM1",0.368800439966381,-0.255354150183961,0.532906184124583,0.0924228545079329,0.722657096691085,0.025642543753516,-0.184918708989797,-1.2514791039599,-0.354734156686537,-0.754454549660148
"UQCRHL",-0.719622343046791,-2.09034051880195,1.0217184520285,-2.13811074687429,-2.83565112765644,-2.12124664922024,-0.380756563511658,-1.28136879281251,-0.849872554599495,-0.427155603193586
"AL450998.2",-0.0935519256572491,-0.704833195482516,0.255840711079818,-0.833642970947041,-3.05905034743398,-0.312156654907146,0.0129288098486045,0.0427355184155274,-0.159652548713086,0.0134064408705477
"SPEN",0.288187429105765,0.113752199119607,0.31394204350682,-0.00303450758504109,-0.100998492999003,-0.151682387681713,0.118156294600151,0.0752142122187663,0.0244190102039884,0.0481301762535763
"ZBTB17",0.430655343092445,0.18633281106353,-0.153925245355368,-2.27727804214505,0.0831697089261073,-0.175264977361983,-0.108642665665586,-0.0863959630380678,0.330345703279704,0.29375955930249
"EPHA2",-0.924958272298453,-0.291542831204028,-0.938713361969821,-3.64916084501073,-2.96904035048939,-1.45255696077683,0.142855363222251,-0.869645510489094,-1.90011177163499,-0.348588078982385
"FBXO42",-0.0021650234391884,-0.033136695073957,0.116612147209612,-0.0668498453830577,0.251743178802317,0.27980425251761,0.202886047111888,0.0560989906215665,0.507586867489377,0.529818438235779
"SZRD1",0.194918360435243,-0.361356245260489,-0.777503110032209,-1.33412833299178,0.2547760871552,-0.263922986287665,-0.476704885961367,0.0296852549501529,-0.0979822101949518,-0.00282556837032599
"SPATA21",0.350054026263573,0.418999266833275,0.288125681525943,-1.6945482438948,-2.50969331665345,0.269377506459597,-0.225715421007822,0.320688273568133,-0.353276210658192,-0.0742040470021448
"NECAP2",0.353502847480631,-0.152711984307329,0.398709140249755,0.296258396519709,-0.0596456178703863,0.0735234746530387,-0.15492364541545,-0.107821693277576,-0.418954306666089,-0.00149814502116566
"AL137802.2",-2.20990253229246,-0.240602134525577,-0.0294026642537107,-0.622112269474888,-1.80032510158504,-0.263420801071778,-0.0963871327461375,0.105198491945731,0.0918732518369865,0.387159613877011
"NBPF1",0.317364304734068,0.13187370530392,0.342249490336322,-0.361689919742182,-2.71103349831049,0.360528617142664,0.0907313422993985,0.450865589113534,0.20617607816708,0.385753472478349
"CROCC",0.0177601859985635,0.170999331920526,-0.20708111102349,0.185547459897717,-0.166308737541399,-0.398741527543775,-0.096484978493854,0.0588890191526548,-0.308323480626784,0.156033046770987
"MFAP2",0.258312961979813,-2.54644853739468,0.780632323763356,-1.01901464931495,-2.69055063094184,0.589493754509929,-0.279935855209317,0.00338095061870014,-0.790625893495663,-0.658328387013233
