Gene	UniProtID	Name	GO_Term_ID	GO_Term_Name	Taxonomy_IDs	Taxonomy_Name
CCDC14	UniProtKB:Q49A88	Coiled-coil domain-containing protein 14	GO:0021762	substantia nigra development	GO:0008150|GO:0060322|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0021762|GO:0048857|GO:0030901|GO:0007417|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|substantia nigra development|neural nucleus development|midbrain development|central nervous system development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0021513	spinal cord dorsal/ventral patterning	GO:0008150|GO:0007275|GO:0048856|GO:0021511|GO:0007399|GO:0007389|GO:0021513|GO:0048513|GO:0003002|GO:0009953|GO:0021510|GO:0007417|GO:0048731|GO:0032502|GO:0032501	biological_process|multicellular organism development|anatomical structure development|spinal cord patterning|nervous system development|pattern specification process|spinal cord dorsal/ventral patterning|animal organ development|regionalization|dorsal/ventral pattern formation|spinal cord development|central nervous system development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0021915	neural tube development	GO:0021915|GO:0009790|GO:0008150|GO:0043009|GO:0007275|GO:0009792|GO:0035295|GO:0048856|GO:0007399|GO:0060429|GO:0009888|GO:0048731|GO:0032502|GO:0032501	neural tube development|embryo development|biological_process|chordate embryonic development|multicellular organism development|embryo development ending in birth or egg hatching|tube development|anatomical structure development|nervous system development|epithelium development|tissue development|system development|developmental process|multicellular organismal process
INTU	UniProtKB:Q9ULD6	Protein inturned	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
SPATA5	UniProtKB:Q8NB90	Ribosome biogenesis protein SPATA5	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
POMGNT2	UniProtKB:Q8NAT1	"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2"	GO:0001764	neuron migration	GO:0008150|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0009987|GO:0048869|GO:0048870|GO:0001764|GO:0048731|GO:0030154|GO:0032502|GO:0016477|GO:0032501	biological_process|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular process|cellular developmental process|cell motility|neuron migration|system development|cell differentiation|developmental process|cell migration|multicellular organismal process
TP63	UniProtKB:Q9H3D4	Tumor protein 63	GO:0048485	sympathetic nervous system development	GO:0048485|GO:0008150|GO:0048483|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0032502|GO:0032501	sympathetic nervous system development|biological_process|autonomic nervous system development|system development|multicellular organism development|anatomical structure development|nervous system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021537	telencephalon development	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021555	midbrain-hindbrain boundary morphogenesis	GO:0009790|GO:0021915|GO:0043009|GO:0060322|GO:0007275|GO:0009792|GO:0021555|GO:0007399|GO:0009952|GO:0048856|GO:0009653|GO:0048513|GO:0060429|GO:0021532|GO:0032502|GO:0032501|GO:0008150|GO:0035295|GO:0021903|GO:0007389|GO:0030917|GO:0007420|GO:0003002|GO:0009888|GO:0007417|GO:0048731|GO:0048598	embryo development|neural tube development|chordate embryonic development|head development|multicellular organism development|embryo development ending in birth or egg hatching|midbrain-hindbrain boundary morphogenesis|nervous system development|anterior/posterior pattern specification|anatomical structure development|anatomical structure morphogenesis|animal organ development|epithelium development|neural tube patterning|developmental process|multicellular organismal process|biological_process|tube development|rostrocaudal neural tube patterning|pattern specification process|midbrain-hindbrain boundary development|brain development|regionalization|tissue development|central nervous system development|system development|embryonic morphogenesis
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021557	oculomotor nerve development	GO:0008150|GO:0007275|GO:0048856|GO:0007399|GO:0021545|GO:0021557|GO:0021783|GO:0021675|GO:0048483|GO:0007417|GO:0048731|GO:0048486|GO:0032502|GO:0032501	biological_process|multicellular organism development|anatomical structure development|nervous system development|cranial nerve development|oculomotor nerve development|preganglionic parasympathetic fiber development|nerve development|autonomic nervous system development|central nervous system development|system development|parasympathetic nervous system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021558	trochlear nerve development	GO:0008150|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0021545|GO:0021558|GO:0032502|GO:0032501|GO:0021675	biological_process|system development|multicellular organism development|anatomical structure development|nervous system development|cranial nerve development|trochlear nerve development|developmental process|multicellular organismal process|nerve development
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021575	hindbrain morphogenesis	GO:0008150|GO:0060322|GO:0007275|GO:0048856|GO:0007399|GO:0009653|GO:0048513|GO:0007420|GO:0021575|GO:0007417|GO:0048731|GO:0030902|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|anatomical structure development|nervous system development|anatomical structure morphogenesis|animal organ development|brain development|hindbrain morphogenesis|central nervous system development|system development|hindbrain development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021861	forebrain radial glial cell differentiation	GO:0008150|GO:0060322|GO:0007275|GO:0007399|GO:0060019|GO:0048856|GO:0022008|GO:0048513|GO:0007420|GO:0048699|GO:0021861|GO:0048869|GO:0009987|GO:0021872|GO:0030900|GO:0007417|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0010001|GO:0032501	biological_process|head development|multicellular organism development|nervous system development|radial glial cell differentiation|anatomical structure development|neurogenesis|animal organ development|brain development|generation of neurons|forebrain radial glial cell differentiation|cellular developmental process|cellular process|forebrain generation of neurons|forebrain development|central nervous system development|system development|gliogenesis|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021870	Cajal-Retzius cell differentiation	GO:0008150|GO:0060322|GO:0030182|GO:0007275|GO:0007399|GO:0048856|GO:0021953|GO:0022008|GO:0048513|GO:0007420|GO:0048699|GO:0021870|GO:0048869|GO:0009987|GO:0021895|GO:0030900|GO:0007417|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|head development|neuron differentiation|multicellular organism development|nervous system development|anatomical structure development|central nervous system neuron differentiation|neurogenesis|animal organ development|brain development|generation of neurons|Cajal-Retzius cell differentiation|cellular developmental process|cellular process|cerebral cortex neuron differentiation|forebrain development|central nervous system development|system development|cell differentiation|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0021984	adenohypophysis development	GO:0008150|GO:0060322|GO:0007275|GO:0021984|GO:0048856|GO:0007399|GO:0048513|GO:0021536|GO:0035270|GO:0007420|GO:0048732|GO:0021983|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|multicellular organism development|adenohypophysis development|anatomical structure development|nervous system development|animal organ development|diencephalon development|endocrine system development|brain development|gland development|pituitary gland development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0030901	midbrain development	GO:0008150|GO:0030901|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|midbrain development|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0035881	amacrine cell differentiation	GO:0035881|GO:0008150|GO:0030182|GO:0007275|GO:0060041|GO:0007399|GO:0048856|GO:0022008|GO:0048513|GO:0048699|GO:0048869|GO:0009987|GO:0007423|GO:0048880|GO:0001654|GO:0048731|GO:0150063|GO:0003407|GO:0043010|GO:0030154|GO:0032502|GO:0032501	amacrine cell differentiation|biological_process|neuron differentiation|multicellular organism development|retina development in camera-type eye|nervous system development|anatomical structure development|neurogenesis|animal organ development|generation of neurons|cellular developmental process|cellular process|sensory organ development|sensory system development|eye development|system development|visual system development|neural retina development|camera-type eye development|cell differentiation|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0042491	inner ear auditory receptor cell differentiation	GO:0048839|GO:0007275|GO:0007399|GO:0008544|GO:0048856|GO:0022008|GO:0048513|GO:0060429|GO:0048699|GO:0032502|GO:0032501|GO:0035315|GO:0008150|GO:0060113|GO:0030182|GO:0048869|GO:0009888|GO:0009987|GO:0007423|GO:0030855|GO:0042490|GO:0009913|GO:0042491|GO:0048731|GO:0043583|GO:0030154	inner ear development|multicellular organism development|nervous system development|epidermis development|anatomical structure development|neurogenesis|animal organ development|epithelium development|generation of neurons|developmental process|multicellular organismal process|hair cell differentiation|biological_process|inner ear receptor cell differentiation|neuron differentiation|cellular developmental process|tissue development|cellular process|sensory organ development|epithelial cell differentiation|mechanoreceptor differentiation|epidermal cell differentiation|inner ear auditory receptor cell differentiation|system development|ear development|cell differentiation
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0048667	cell morphogenesis involved in neuron differentiation	GO:0008150|GO:0000904|GO:0030182|GO:0007275|GO:0000902|GO:0048856|GO:0007399|GO:0048667|GO:0009653|GO:0022008|GO:0048699|GO:0048666|GO:0048468|GO:0009987|GO:0048869|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|cell morphogenesis involved in differentiation|neuron differentiation|multicellular organism development|cell morphogenesis|anatomical structure development|nervous system development|cell morphogenesis involved in neuron differentiation|anatomical structure morphogenesis|neurogenesis|generation of neurons|neuron development|cell development|cellular process|cellular developmental process|system development|cell differentiation|developmental process|multicellular organismal process
HES1	UniProtKB:Q14469	Transcription factor HES-1	GO:0060122	inner ear receptor cell stereocilium organization	GO:0060122|GO:0120036|GO:0048839|GO:0007275|GO:0030030|GO:0007399|GO:0048856|GO:0022008|GO:0048513|GO:0048699|GO:0032502|GO:0032501|GO:0008150|GO:0060113|GO:0030182|GO:0031175|GO:0060119|GO:0048468|GO:0048666|GO:0009987|GO:0007423|GO:0048869|GO:0042490|GO:0048731|GO:0043583|GO:0030154|GO:0016043|GO:0071840	inner ear receptor cell stereocilium organization|plasma membrane bounded cell projection organization|inner ear development|multicellular organism development|cell projection organization|nervous system development|anatomical structure development|neurogenesis|animal organ development|generation of neurons|developmental process|multicellular organismal process|biological_process|inner ear receptor cell differentiation|neuron differentiation|neuron projection development|inner ear receptor cell development|cell development|neuron development|cellular process|sensory organ development|cellular developmental process|mechanoreceptor differentiation|system development|ear development|cell differentiation|cellular component organization|cellular component organization or biogenesis
MT3	UniProtKB:P25713	Metallothionein-3	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
MT3	UniProtKB:P25713	Metallothionein-3	GO:0014002	astrocyte development	GO:0008150|GO:0014002|GO:0048708|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048468|GO:0021782|GO:0048869|GO:0009987|GO:0007417|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0010001|GO:0032501	biological_process|astrocyte development|astrocyte differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|cell development|glial cell development|cellular developmental process|cellular process|central nervous system development|system development|gliogenesis|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
ZMIZ1	UniProtKB:Q9ULJ6	Zinc finger MIZ domain-containing protein 1	GO:0021852	pyramidal neuron migration to cerebral cortex	GO:0060322|GO:0021537|GO:0007275|GO:0021879|GO:0021859|GO:0021852|GO:0007399|GO:0048856|GO:0022029|GO:0021799|GO:0022008|GO:0021953|GO:0048513|GO:0021954|GO:0048699|GO:0021795|GO:0021872|GO:0008347|GO:0001764|GO:0030900|GO:0042063|GO:0022030|GO:0032502|GO:0016477|GO:0140650|GO:0032501|GO:0008150|GO:0021801|GO:0030182|GO:0021885|GO:0021987|GO:0048468|GO:0048666|GO:0007420|GO:0021860|GO:0009987|GO:0048869|GO:0021884|GO:0021543|GO:0048870|GO:0007417|GO:0048731|GO:0030154	head development|telencephalon development|multicellular organism development|forebrain neuron differentiation|pyramidal neuron differentiation|pyramidal neuron migration to cerebral cortex|nervous system development|anatomical structure development|telencephalon cell migration|cerebral cortex radially oriented cell migration|neurogenesis|central nervous system neuron differentiation|animal organ development|central nervous system neuron development|generation of neurons|cerebral cortex cell migration|forebrain generation of neurons|glial cell migration|neuron migration|forebrain development|gliogenesis|telencephalon glial cell migration|developmental process|cell migration|radial glia-guided pyramidal neuron migration|multicellular organismal process|biological_process|cerebral cortex radial glia-guided migration|neuron differentiation|forebrain cell migration|cerebral cortex development|cell development|neuron development|brain development|pyramidal neuron development|cellular process|cellular developmental process|forebrain neuron development|pallium development|cell motility|central nervous system development|system development|cell differentiation
BECN1	UniProtKB:Q14457	Beclin-1	GO:0048666	neuron development	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048666|GO:0048468|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|neuron development|cell development|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
IL6	UniProtKB:P05231	Interleukin-6	GO:0031175	neuron projection development	GO:0008150|GO:0120036|GO:0031175|GO:0030182|GO:0007275|GO:0030030|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048666|GO:0048468|GO:0009987|GO:0048869|GO:0048731|GO:0030154|GO:0016043|GO:0071840|GO:0032502|GO:0032501	biological_process|plasma membrane bounded cell projection organization|neuron projection development|neuron differentiation|multicellular organism development|cell projection organization|anatomical structure development|nervous system development|neurogenesis|generation of neurons|neuron development|cell development|cellular process|cellular developmental process|system development|cell differentiation|cellular component organization|cellular component organization or biogenesis|developmental process|multicellular organismal process
FUT10	UniProtKB:Q6P4F1	"Alpha-(1,3)-fucosyltransferase 10"	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
FUT10	UniProtKB:Q6P4F1	"Alpha-(1,3)-fucosyltransferase 10"	GO:0021799	cerebral cortex radially oriented cell migration	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0021885|GO:0048856|GO:0007399|GO:0022029|GO:0021799|GO:0048513|GO:0021987|GO:0007420|GO:0021795|GO:0009987|GO:0021543|GO:0048870|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0016477|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|forebrain cell migration|anatomical structure development|nervous system development|telencephalon cell migration|cerebral cortex radially oriented cell migration|animal organ development|cerebral cortex development|brain development|cerebral cortex cell migration|cellular process|pallium development|cell motility|central nervous system development|forebrain development|system development|developmental process|cell migration|multicellular organismal process
SHROOM4	UniProtKB:Q9ULL8	Protein Shroom4	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
CDK5RAP3	UniProtKB:Q96JB5	CDK5 regulatory subunit-associated protein 3	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
ITM2C	UniProtKB:Q9NQX7	Integral membrane protein 2C	GO:0030182	neuron differentiation	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
HPCAL4	UniProtKB:Q9UM19	Hippocalcin-like protein 4	GO:0007417	central nervous system development	GO:0008150|GO:0007417|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0032502|GO:0032501	biological_process|central nervous system development|system development|multicellular organism development|anatomical structure development|nervous system development|developmental process|multicellular organismal process
AZU1	UniProtKB:P20160	Azurocidin	GO:0008347	glial cell migration	GO:0008150|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0009987|GO:0048869|GO:0008347|GO:0048870|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0016477|GO:0032501	biological_process|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|cellular process|cellular developmental process|glial cell migration|cell motility|system development|gliogenesis|cell differentiation|developmental process|cell migration|multicellular organismal process
HECTD1	UniProtKB:Q9ULT8	E3 ubiquitin-protein ligase HECTD1	GO:0001843	neural tube closure	GO:0009790|GO:0021915|GO:0043009|GO:0060562|GO:0007275|GO:0014020|GO:0009792|GO:0007399|GO:0048856|GO:0009653|GO:0060429|GO:0001841|GO:0001843|GO:0060606|GO:0035239|GO:0016331|GO:0032502|GO:0032501|GO:0008150|GO:0048729|GO:0035295|GO:0048646|GO:0009888|GO:0072175|GO:0048731|GO:0002009|GO:0048598|GO:0001838|GO:0035148	embryo development|neural tube development|chordate embryonic development|epithelial tube morphogenesis|multicellular organism development|primary neural tube formation|embryo development ending in birth or egg hatching|nervous system development|anatomical structure development|anatomical structure morphogenesis|epithelium development|neural tube formation|neural tube closure|tube closure|tube morphogenesis|morphogenesis of embryonic epithelium|developmental process|multicellular organismal process|biological_process|tissue morphogenesis|tube development|anatomical structure formation involved in morphogenesis|tissue development|epithelial tube formation|system development|morphogenesis of an epithelium|embryonic morphogenesis|embryonic epithelial tube formation|tube formation
SPG11	UniProtKB:Q96JI7	Spatacsin	GO:0021957	corticospinal tract morphogenesis	GO:0120036|GO:0021955|GO:0007275|GO:0120039|GO:0032990|GO:0021957|GO:0030030|GO:0007399|GO:0048812|GO:0048856|GO:0021952|GO:0009653|GO:0022008|GO:0021953|GO:0021954|GO:0048699|GO:0048858|GO:0032989|GO:0007409|GO:0032502|GO:0032501|GO:0008150|GO:0061564|GO:0000904|GO:0030182|GO:0031175|GO:0000902|GO:0048667|GO:0048468|GO:0048666|GO:0048869|GO:0009987|GO:0007417|GO:0048731|GO:0016043|GO:0030154|GO:0071840	plasma membrane bounded cell projection organization|central nervous system neuron axonogenesis|multicellular organism development|plasma membrane bounded cell projection morphogenesis|cell part morphogenesis|corticospinal tract morphogenesis|cell projection organization|nervous system development|neuron projection morphogenesis|anatomical structure development|central nervous system projection neuron axonogenesis|anatomical structure morphogenesis|neurogenesis|central nervous system neuron differentiation|central nervous system neuron development|generation of neurons|cell projection morphogenesis|cellular component morphogenesis|axonogenesis|developmental process|multicellular organismal process|biological_process|axon development|cell morphogenesis involved in differentiation|neuron differentiation|neuron projection development|cell morphogenesis|cell morphogenesis involved in neuron differentiation|cell development|neuron development|cellular developmental process|cellular process|central nervous system development|system development|cellular component organization|cell differentiation|cellular component organization or biogenesis
SPG11	UniProtKB:Q96JI7	Spatacsin	GO:0048675	axon extension	GO:0120036|GO:0007275|GO:0032990|GO:0120039|GO:0060560|GO:0030030|GO:0007399|GO:0048856|GO:0048812|GO:0009653|GO:0022008|GO:0048699|GO:0048858|GO:0032989|GO:0048588|GO:0007409|GO:0032502|GO:0032501|GO:0008150|GO:0061564|GO:0000904|GO:0030182|GO:0031175|GO:0000902|GO:0048667|GO:0048589|GO:0048468|GO:0048666|GO:0009987|GO:0040007|GO:0048869|GO:0048731|GO:0048675|GO:1990138|GO:0016043|GO:0030154|GO:0071840|GO:0016049	plasma membrane bounded cell projection organization|multicellular organism development|cell part morphogenesis|plasma membrane bounded cell projection morphogenesis|developmental growth involved in morphogenesis|cell projection organization|nervous system development|anatomical structure development|neuron projection morphogenesis|anatomical structure morphogenesis|neurogenesis|generation of neurons|cell projection morphogenesis|cellular component morphogenesis|developmental cell growth|axonogenesis|developmental process|multicellular organismal process|biological_process|axon development|cell morphogenesis involved in differentiation|neuron differentiation|neuron projection development|cell morphogenesis|cell morphogenesis involved in neuron differentiation|developmental growth|cell development|neuron development|cellular process|growth|cellular developmental process|system development|axon extension|neuron projection extension|cellular component organization|cell differentiation|cellular component organization or biogenesis|cell growth
FZD4	UniProtKB:Q9ULV1	Frizzled-4	GO:0030182	neuron differentiation	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
FZD4	UniProtKB:Q9ULV1	Frizzled-4	GO:0061301	cerebellum vasculature morphogenesis	GO:0008150|GO:0061300|GO:0061301|GO:0060322|GO:0021549|GO:0007275|GO:0048856|GO:0007399|GO:0009653|GO:0048513|GO:0007420|GO:0022037|GO:0007417|GO:0048731|GO:0030902|GO:0001944|GO:0072359|GO:0032502|GO:0032501	biological_process|cerebellum vasculature development|cerebellum vasculature morphogenesis|head development|cerebellum development|multicellular organism development|anatomical structure development|nervous system development|anatomical structure morphogenesis|animal organ development|brain development|metencephalon development|central nervous system development|system development|hindbrain development|vasculature development|circulatory system development|developmental process|multicellular organismal process
ALK	UniProtKB:Q9UM73	ALK tyrosine kinase receptor	GO:0021766	hippocampus development	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0048856|GO:0007399|GO:0021766|GO:0048513|GO:0007420|GO:0021761|GO:0021543|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|anatomical structure development|nervous system development|hippocampus development|animal organ development|brain development|limbic system development|pallium development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
ALK	UniProtKB:Q9UM73	ALK tyrosine kinase receptor	GO:0048666	neuron development	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048666|GO:0048468|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|neuron development|cell development|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
CORO1C	UniProtKB:Q9ULV4	Coronin-1C	GO:0021591	ventricular system development	GO:0021591|GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	ventricular system development|biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
CORO1C	UniProtKB:Q9ULV4	Coronin-1C	GO:0022038	corpus callosum development	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0022038|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|corpus callosum development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
ABCB6	UniProtKB:Q9NP58	ATP-binding cassette sub-family B member 6	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
FZD10	UniProtKB:Q9ULW2	Frizzled-10	GO:0030182	neuron differentiation	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
ABT1	UniProtKB:Q9ULW3	Activator of basal transcription 1	GO:0021522	spinal cord motor neuron differentiation	GO:0008150|GO:0021515|GO:0030182|GO:0007275|GO:0021517|GO:0021522|GO:0007399|GO:0048856|GO:0021953|GO:0022008|GO:0048513|GO:0048699|GO:0048869|GO:0009987|GO:0021510|GO:0007417|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|cell differentiation in spinal cord|neuron differentiation|multicellular organism development|ventral spinal cord development|spinal cord motor neuron differentiation|nervous system development|anatomical structure development|central nervous system neuron differentiation|neurogenesis|animal organ development|generation of neurons|cellular developmental process|cellular process|spinal cord development|central nervous system development|system development|cell differentiation|developmental process|multicellular organismal process
GCM1	UniProtKB:Q9NP62	Chorion-specific transcription factor GCMa	GO:0060018	astrocyte fate commitment	GO:0008150|GO:0048708|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048869|GO:0009987|GO:0060018|GO:0007417|GO:0021781|GO:0048731|GO:0042063|GO:0045165|GO:0030154|GO:0032502|GO:0010001|GO:0032501	biological_process|astrocyte differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|cellular developmental process|cellular process|astrocyte fate commitment|central nervous system development|glial cell fate commitment|system development|gliogenesis|cell fate commitment|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
GCM1	UniProtKB:Q9NP62	Chorion-specific transcription factor GCMa	GO:0042063	gliogenesis	GO:0008150|GO:0048731|GO:0042063|GO:0007275|GO:0048856|GO:0007399|GO:0030154|GO:0022008|GO:0032502|GO:0048869|GO:0009987|GO:0032501	biological_process|system development|gliogenesis|multicellular organism development|anatomical structure development|nervous system development|cell differentiation|neurogenesis|developmental process|cellular developmental process|cellular process|multicellular organismal process
RAB18	UniProtKB:Q9NP72	Ras-related protein Rab-18	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
