Gene	UniProtID	Name	GO_Term_ID	GO_Term_Name	Taxonomy_IDs	Taxonomy_Name
SLC12A5	UniProtKB:Q9H2X9	Solute carrier family 12 member 5	GO:0060996	dendritic spine development	GO:0008150|GO:0120036|GO:0030182|GO:0031175|GO:0007275|GO:0030030|GO:0048856|GO:0007399|GO:0022008|GO:0048468|GO:0048666|GO:0048699|GO:0060996|GO:0009987|GO:0048869|GO:0048731|GO:0016043|GO:0030154|GO:0071840|GO:0032502|GO:0032501|GO:0016358	biological_process|plasma membrane bounded cell projection organization|neuron differentiation|neuron projection development|multicellular organism development|cell projection organization|anatomical structure development|nervous system development|neurogenesis|cell development|neuron development|generation of neurons|dendritic spine development|cellular process|cellular developmental process|system development|cellular component organization|cell differentiation|cellular component organization or biogenesis|developmental process|multicellular organismal process|dendrite development
ARF6	UniProtKB:P62330	ADP-ribosylation factor 6	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
EFHC1	UniProtKB:Q5JVL4	EF-hand domain-containing protein 1	GO:0021795	cerebral cortex cell migration	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0021885|GO:0048856|GO:0007399|GO:0022029|GO:0048513|GO:0021987|GO:0007420|GO:0021795|GO:0009987|GO:0021543|GO:0048870|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0016477|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|forebrain cell migration|anatomical structure development|nervous system development|telencephalon cell migration|animal organ development|cerebral cortex development|brain development|cerebral cortex cell migration|cellular process|pallium development|cell motility|central nervous system development|forebrain development|system development|developmental process|cell migration|multicellular organismal process
SNAPIN	UniProtKB:O95295	SNARE-associated protein Snapin	GO:0031175	neuron projection development	GO:0008150|GO:0120036|GO:0031175|GO:0030182|GO:0007275|GO:0030030|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048666|GO:0048468|GO:0009987|GO:0048869|GO:0048731|GO:0030154|GO:0016043|GO:0071840|GO:0032502|GO:0032501	biological_process|plasma membrane bounded cell projection organization|neuron projection development|neuron differentiation|multicellular organism development|cell projection organization|anatomical structure development|nervous system development|neurogenesis|generation of neurons|neuron development|cell development|cellular process|cellular developmental process|system development|cell differentiation|cellular component organization|cellular component organization or biogenesis|developmental process|multicellular organismal process
RTN1	UniProtKB:Q16799	Reticulon-1	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
RTN1	UniProtKB:Q16799	Reticulon-1	GO:0030182	neuron differentiation	GO:0008150|GO:0030182|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048699|GO:0048869|GO:0009987|GO:0048731|GO:0030154|GO:0032502|GO:0032501	biological_process|neuron differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|generation of neurons|cellular developmental process|cellular process|system development|cell differentiation|developmental process|multicellular organismal process
PCDHB15	UniProtKB:Q9Y5E8	Protocadherin beta-15	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
PCDHB14	UniProtKB:Q9Y5E9	Protocadherin beta-14	GO:0007416	synapse assembly	GO:0008150|GO:0050808|GO:0007275|GO:0034330|GO:0022607|GO:0048856|GO:0007399|GO:0009987|GO:0007416|GO:0044085|GO:0048731|GO:0016043|GO:0071840|GO:0032502|GO:0034329|GO:0032501	biological_process|synapse organization|multicellular organism development|cell junction organization|cellular component assembly|anatomical structure development|nervous system development|cellular process|synapse assembly|cellular component biogenesis|system development|cellular component organization|cellular component organization or biogenesis|developmental process|cell junction assembly|multicellular organismal process
NAIP	UniProtKB:Q13075	Baculoviral IAP repeat-containing protein 1	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
CASP2	UniProtKB:P42575	Caspase-2	GO:0007420	brain development	GO:0008150|GO:0007417|GO:0060322|GO:0048731|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0007420|GO:0032502|GO:0032501	biological_process|central nervous system development|head development|system development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|brain development|developmental process|multicellular organismal process
EIF2B4	UniProtKB:Q9UI10	Translation initiation factor eIF-2B subunit delta	GO:0014003	oligodendrocyte development	GO:0014003|GO:0008150|GO:0048709|GO:0007275|GO:0048856|GO:0007399|GO:0022008|GO:0048468|GO:0021782|GO:0048869|GO:0009987|GO:0007417|GO:0048731|GO:0042063|GO:0030154|GO:0032502|GO:0010001|GO:0032501	oligodendrocyte development|biological_process|oligodendrocyte differentiation|multicellular organism development|anatomical structure development|nervous system development|neurogenesis|cell development|glial cell development|cellular developmental process|cellular process|central nervous system development|system development|gliogenesis|cell differentiation|developmental process|glial cell differentiation|multicellular organismal process
EIF2B4	UniProtKB:Q9UI10	Translation initiation factor eIF-2B subunit delta	GO:0042552	myelination	GO:0008150|GO:0048731|GO:0007275|GO:0007272|GO:0048856|GO:0007399|GO:0042552|GO:0008366|GO:0032502|GO:0009987|GO:0032501	biological_process|system development|multicellular organism development|ensheathment of neurons|anatomical structure development|nervous system development|myelination|axon ensheathment|developmental process|cellular process|multicellular organismal process
EVL	UniProtKB:Q9UI08	Ena/VASP-like protein	GO:0007399	nervous system development	GO:0008150|GO:0048731|GO:0007275|GO:0007399|GO:0048856|GO:0032502|GO:0032501	biological_process|system development|multicellular organism development|nervous system development|anatomical structure development|developmental process|multicellular organismal process
TH	UniProtKB:P07101	Tyrosine 3-monooxygenase	GO:0021987	cerebral cortex development	GO:0008150|GO:0060322|GO:0021537|GO:0007275|GO:0048856|GO:0007399|GO:0048513|GO:0021987|GO:0007420|GO:0021543|GO:0007417|GO:0030900|GO:0048731|GO:0032502|GO:0032501	biological_process|head development|telencephalon development|multicellular organism development|anatomical structure development|nervous system development|animal organ development|cerebral cortex development|brain development|pallium development|central nervous system development|forebrain development|system development|developmental process|multicellular organismal process
TH	UniProtKB:P07101	Tyrosine 3-monooxygenase	GO:0042462	eye photoreceptor cell development	GO:0007275|GO:0090596|GO:0007399|GO:0048856|GO:0009653|GO:0022008|GO:0048513|GO:0048699|GO:0048880|GO:0042461|GO:0032502|GO:0032501|GO:0008150|GO:0030182|GO:0042462|GO:0048468|GO:0048666|GO:0048869|GO:0009987|GO:0007423|GO:0009887|GO:0001654|GO:0048592|GO:0001754|GO:0046530|GO:0048731|GO:0150063|GO:0030154	multicellular organism development|sensory organ morphogenesis|nervous system development|anatomical structure development|anatomical structure morphogenesis|neurogenesis|animal organ development|generation of neurons|sensory system development|photoreceptor cell development|developmental process|multicellular organismal process|biological_process|neuron differentiation|eye photoreceptor cell development|cell development|neuron development|cellular developmental process|cellular process|sensory organ development|animal organ morphogenesis|eye development|eye morphogenesis|eye photoreceptor cell differentiation|photoreceptor cell differentiation|system development|visual system development|cell differentiation
OTX2	UniProtKB:P32243	Homeobox protein OTX2	GO:0007411	axon guidance	GO:0120036|GO:0007275|GO:0032990|GO:0040011|GO:0120039|GO:0030030|GO:0007399|GO:0048856|GO:0048812|GO:0042330|GO:0007411|GO:0009653|GO:0022008|GO:0048699|GO:0048858|GO:0097485|GO:0006935|GO:0032989|GO:0009605|GO:0007409|GO:0032502|GO:0050896|GO:0032501|GO:0008150|GO:0061564|GO:0000904|GO:0030182|GO:0031175|GO:0000902|GO:0042221|GO:0048667|GO:0048468|GO:0048666|GO:0009987|GO:0048869|GO:0048731|GO:0016043|GO:0030154|GO:0071840	plasma membrane bounded cell projection organization|multicellular organism development|cell part morphogenesis|locomotion|plasma membrane bounded cell projection morphogenesis|cell projection organization|nervous system development|anatomical structure development|neuron projection morphogenesis|taxis|axon guidance|anatomical structure morphogenesis|neurogenesis|generation of neurons|cell projection morphogenesis|neuron projection guidance|chemotaxis|cellular component morphogenesis|response to external stimulus|axonogenesis|developmental process|response to stimulus|multicellular organismal process|biological_process|axon development|cell morphogenesis involved in differentiation|neuron differentiation|neuron projection development|cell morphogenesis|response to chemical|cell morphogenesis involved in neuron differentiation|cell development|neuron development|cellular process|cellular developmental process|system development|cellular component organization|cell differentiation|cellular component organization or biogenesis
