,name,avgExpression
537,CHCHD2,9.27080511357996
470,ZNF558,6.60679207000443
36,AP000936.1,4.32654091116519
538,LHX1,3.50552982628037
540,LHX5-AS1,3.32723179850872
455,TTR,3.29921649302855
516,WNT7B,3.00574010483952
539,LHX1-DT,2.90163853668033
541,LHX5,2.83858872449893
439,FEZF2,2.68578579343858
471,ARHGAP25,2.5663736220942
518,MYO1E,2.39710832603989
438,DMRTA2,2.3884505058005
0,TMEM132D,2.38790111938474
461,DMRT3,2.25175485826876
459,FAM89A,2.23358622827052
468,PCDHB5,2.17178963599636
437,EMX2,2.12188265128313
460,LEF1,2.11021918357554
338,UNC5C,2.06765725413215
473,PTGR1,2.02363599644851
462,CCND1,2.02205551407771
458,ID3,2.01152545492935
469,AC132192.1,1.96889006423302
456,AL049637.2,1.93708029150986
467,DNAJC15,1.92451824999287
513,DLK1,1.89890714428822
178,KHDRBS3,1.88974561514254
355,EOMES,1.88170592124081
517,ADAMTSL1,1.83308916558296
522,COL24A1,1.82082854976669
463,NMU,1.78465432053619
543,SLC17A6,1.71067993657611
440,NEUROG2,1.68836546464389
523,AL137139.2,1.65398256674641
498,WDR49,1.55068619107429
454,OAF,1.54170262750463
342,WLS,1.5116468535484
496,AC108134.2,1.44935244117936
499,RHBDF2,1.44792274310152
485,CTSC,1.41917111017889
519,LINC01239,1.39891438389601
515,AC023886.1,1.39640467849189
341,GNG12-AS1,1.3554324159803
164,ZNF16,1.35204230962077
542,LINC02609,1.32882208417108
163,AC109927.1,1.27540472700659
500,AC012409.2,1.26229669186537
472,GCHFR,1.25582114070053
389,C19orf81,1.19065015323921
154,OLFM3,1.18882927924834
450,HES1,1.15141974049029
506,RBMS1,1.14963384671978
521,ABCC4,1.14559119993677
345,KCNMB2-AS1,1.09328941654354
504,AC093298.2,1.0845207978486
452,GAS1,1.07502984120569
160,NAV2,1.06438855920549
451,ZFP36L1,1.03654690855089
528,MIR222HG,1.03102810111072
545,AC104009.1,1.00576279330897
420,GTF2H2,1.005273476155
511,ZMAT4,1.0030342854437
497,ADAMTS18,1.00180297794759
544,PRKG2,1.00170297625556
501,NR2F2-AS1,0.980967483231473
357,ZBTB16,0.980404338614891
356,CDC20B,0.971097565318186
477,TMEM121,0.949100182970343
505,AC124854.1,0.947191708754956
447,ITGA2,0.945826919494685
475,LMO2,0.942697182315827
457,BCL2L12,0.877420963372829
382,IFI27L2,0.877054208683589
436,LHX2,0.876500588066355
532,CACHD1,0.867442384031716
482,RHBDL3,0.866906838648753
99,SORCS2,0.863986500490481
187,RMST,0.851435818391929
158,SASH1,0.830338019306211
484,LGALS3BP,0.803694717633494
510,ZNF423,0.793185017563106
411,EIF5A,0.781835261915645
343,ERBB4,0.771407502193428
444,CLIC1,0.739506684345074
514,LYPD6B,0.729594408143194
486,GCAT,0.716550910831727
155,AC007389.1,0.714548944717942
149,AC079142.1,0.713573475960279
340,AL033504.1,0.70579632389026
474,LY6E,0.698787355301109
409,VKORC1,0.685320976839506
495,AL031985.4,0.645685521019507
478,DYRK4,0.644552658827775
453,SLC9A3R1,0.640493414171456
512,RASGRP1,0.63701298060639
502,SFMBT2,0.635149423109938
106,AC027288.3,0.63454273070696
407,GTPBP6,0.626331809274578
503,RAB11FIP2,0.621418724292434
408,OARD1,0.618263140864257
162,TRAF3,0.603262257977432
156,B3GAT2,0.591298156128085
464,KIAA1217,0.587165791613766
508,PCDH9,0.584046168918229
465,PROX1,0.578874538510393
529,PLCH1,0.572745712863356
493,AL627171.2,0.568138766201173
530,MID1,0.56191551297167
344,KCNMB2,0.558941706947236
479,MFSD3,0.551041124197817
520,ROR1,0.546490852908842
448,LRP4,0.545346331903575
441,FABP7,0.542939417413203
509,TENM4,0.537095365360749
406,C20orf27,0.521083003508325
492,LINC02595,0.512265601787663
159,CCDC148,0.509577368943401
466,PAUPAR,0.505932336539509
101,RBMS3,0.495939497901379
476,SCUBE1,0.495166597534952
38,PLAGL1,0.490819001201942
483,NCALD,0.488733506727121
489,FILIP1,0.487691817291411
410,WDR54,0.487444268600577
383,SINHCAF,0.486602741408112
446,ECI1,0.479291490122218
481,CCDC85C,0.467790891527052
480,C2orf81,0.464601541590719
527,EML1,0.463545625247486
348,ST18,0.454649613355753
430,SOX5,0.439349918556866
432,SYNE2,0.433775527093614
387,SMIM20,0.433765960276081
391,ISOC2,0.427911487525096
375,RPS7,0.425145133475453
374,RPL17,0.416774933893697
442,VIM,0.414004023936758
531,ZNRF3,0.411802629173412
251,CCDC112,0.41097865261781
35,SEC16A,0.40501635103833
390,SNHG16,0.404255606178483
536,ID4,0.403826429607414
393,DYNLT3,0.392290973709338
368,RPL12,0.387709338943168
157,RNF220,0.371964347891283
526,ACKR3,0.367570585213731
421,ERGIC1,0.359441556291303
367,EEF1B2,0.35630089991391
188,PLEKHA6,0.349198699334484
161,TMEM67,0.346513191877721
380,RPL13,0.346378748658902
381,RPL18A,0.345856047052484
369,RPS2,0.343952745123936
373,RPL7A,0.339649803732795
449,FGFBP3,0.338340958072988
177,TRIM67,0.337794272369051
102,CARMIL1,0.333305066582868
422,IQCK,0.331495504430471
412,BOD1,0.32876252506406
491,MROH8,0.322659433580265
372,RPS3,0.320329778754803
490,TPBG,0.317384346855968
376,RPL18,0.313566352794338
418,RPL7L1,0.313085613067242
386,IMPDH2,0.31037130738316
388,FBL,0.309265876158465
443,TTYH1,0.305473851358446
392,CXXC5,0.300249617888926
100,HECW2,0.28453296447004
182,CSMD1,0.283887633436625
90,SRGAP3,0.280345691493139
385,LTA4H,0.279320805805127
414,ANAPC16,0.277098027714403
252,PDP1,0.275381190343806
413,RNF7,0.274369762273687
445,HMGN3,0.264967749187156
416,FAM92A,0.264185744620961
535,LIMCH1,0.263341279020176
377,RPS8,0.262869465667888
404,SUGP2,0.261073672158496
350,LZTS1-AS1,0.258366838000494
423,AP1AR,0.255991726984138
92,MFSD4B,0.251244702793495
40,NR2F1,0.2490252502863
175,FCHO1,0.230508861577155
378,RPL5,0.226877438248982
370,NPM1,0.21748970794336
379,RPL19,0.215113813044291
419,EIF3L,0.214588843803569
93,PKN2,0.21349201754393
533,SIPA1L1,0.211395520518109
424,NDN,0.210708010736346
371,RPLP0,0.209799048023349
212,OCIAD2,0.206779359188155
96,PKP4,0.181518227750846
339,CNTN5,0.177031880028636
51,NPAS3,0.174243103612595
267,PRR7,0.169894100933493
415,SSB,0.167573090364436
98,DYNC2H1,0.157646924643461
417,HMGA1,0.140101999284153
88,GPC6,0.136014151462249
431,TCF4,0.121605040496533
95,PLEKHA5,0.117301082312505
9,PACRGL,0.0888278783465324
299,SYT1,0.0860594547602588
384,E2F5,0.0805085587864595
94,REV3L,0.0717948555598645
104,RRAS2,0.0580805562699833
405,TUBA1C,0.0547220826088133
179,CDK5R2,0.0418084009848271
337,SCRT1,0.0398939345448063
434,AMBN,0.0259365931344665
329,ERC2,0.0030358423846938
354,ELAVL2,-0.0005481969795391
353,LZTS1,-0.0088335576695968
39,DCBLD2,-0.0120176605923536
56,LRCH1,-0.0141913701713589
258,HDGFL3,-0.0165798980994105
328,ROBO2,-0.0217728258628171
263,ADGRG1,-0.0227863409516024
362,SH3BGRL3,-0.0267481573593387
127,RALGPS1,-0.0350502570387702
97,ADGRB3,-0.035708170519832
