"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"AL162493.1",33.7935121976108,4.36228501801657,0.897164922283523,4.86230001827691,0.00000116029580297725,0.00796491616448939,"AL162493.1"
"TTTY14",268.761591075573,-3.47891553668519,0.684902760807682,-5.07942986327376,0.000000378569250954025,0.00445765292998364,"TTTY14"
"DLK1",210.05628152608,-4.29292018888809,0.906921049287878,-4.73351036703683,0.00000220669686977203,0.0103935422566263,"DLK1"
"CHCHD2",294.630068401836,-8.29335017369068,1.1391611520457,-7.28022559301421,0.000000000000333262409383785,0.00000000784832974098813,"CHCHD2"
