TF,target,importance,TF_Type,TF_Expression,Target_Type,Target_Expression
SOX11,STMN2,76.21952996146712,NeuroDisease,0.24233543301072427,NeuroDev,0.42899151615732
SOX4,KLF7,75.57311105121457,NeuroDisease,0.2328105103407569,NeuroDisease,0.23073052413852846
KLF7,MAP2,75.4383220498538,NeuroDisease,0.23073052413852846,NeuroDev,0.05629777039025097
SOX4,ATCAY,74.77128900682933,NeuroDisease,0.2328105103407569,NeuroDev,0.16829968799455605
YBX1,ETFB,73.48469097121124,GeneralTF,-0.1048253496486187,NeuroDisease,-0.33637150728428455
SOX4,RBFOX2,70.53398351207314,NeuroDisease,0.2328105103407569,NeuroDev,0.13426450174246582
RPL6,SMARCB1,68.79520949954623,GeneralTF,-0.27235618326369987,NeuroDisease,-0.25686825111222134
RBFOX2,GAP43,68.48202537035431,NeuroDev,0.13426450174246582,NeuroDev,0.14708091513691263
NAP1L1,RPS7,68.0411053119674,NeuroDev,-0.2680984945782962,NeuroDev,-0.41925054346889484
RPL6,MTCH1,68.02852514980533,GeneralTF,-0.27235618326369987,NeuroDev,-0.359990566054905
RPL6,NDN,66.90617692905609,GeneralTF,-0.27235618326369987,NeuroDev,-0.22219042090481372
RPL6,GNAI3,66.65699353688444,GeneralTF,-0.27235618326369987,NeuroDev,-0.032700955945163854
SOX4,EPHA5,64.08339160142454,NeuroDisease,0.2328105103407569,NeuroDev,-0.4577232262776384
SOD1,ATP5PF,63.31219111621822,HSA21TF,0.4228640436619747,HSA21gene,0.49713906921066736
RPL6,STMN2,62.77538355613579,GeneralTF,-0.27235618326369987,NeuroDev,0.42899151615732
RBFOX2,ADARB1,62.40136938881296,NeuroDev,0.13426450174246582,HSA21TF,0.3909752671061668
SOX4,YBX1,62.36433284288604,NeuroDisease,0.2328105103407569,GeneralTF,-0.1048253496486187
RBFOX2,PTPRD,62.00041401058672,NeuroDev,0.13426450174246582,NeuroDev,-0.3577803053927319
ETFB,DYNLL1,60.78482749276115,NeuroDisease,-0.33637150728428455,NeuroDev,-0.39177040745857267
RBFOX2,PBX1,60.68621001438236,NeuroDev,0.13426450174246582,NeuroDisease,0.44816668591407993
RBFOX2,MAP2,60.46590695245043,NeuroDev,0.13426450174246582,NeuroDev,0.05629777039025097
NAP1L1,EEF1D,59.781833844015765,NeuroDev,-0.2680984945782962,GeneralTF,-0.3259285795636698
YBX1,CRMP1,59.586348157638994,GeneralTF,-0.1048253496486187,NeuroDev,0.18038347259808085
KLF7,SOX4,59.57936464503193,NeuroDisease,0.23073052413852846,NeuroDisease,0.2328105103407569
PAX6,SFRP2,59.33896347756555,NeuroDisease,-0.4211607405345091,NeuroDev,-1.0108951770589525
NR2F2,EPHA5,58.9959286838958,NeuroDev,-0.6551987782534493,NeuroDev,-0.4577232262776384
YBX1,PAX6,58.55883577221566,GeneralTF,-0.1048253496486187,NeuroDisease,-0.4211607405345091
SOX11,ATCAY,58.312057263659504,NeuroDisease,0.24233543301072427,NeuroDev,0.16829968799455605
SOX4,RPL6,58.30109086291717,NeuroDisease,0.2328105103407569,GeneralTF,-0.27235618326369987
SOX11,DPYSL2,58.17921836189704,NeuroDisease,0.24233543301072427,NeuroDisease,0.24568313088127375
EEF1D,CLU,57.53045191651356,GeneralTF,-0.3259285795636698,NeuroDev,-0.50911839041335
SOX4,KIF5B,57.188778359259246,NeuroDisease,0.2328105103407569,NeuroDev,-0.18808378368838305
RPL6,ETFB,56.70936402908142,GeneralTF,-0.27235618326369987,NeuroDisease,-0.33637150728428455
YBX1,GAP43,56.651630072535234,GeneralTF,-0.1048253496486187,NeuroDev,0.14708091513691263
RPL6,NR2F1,56.52659995755688,GeneralTF,-0.27235618326369987,NeuroDisease,-0.2179795969734623
RBFOX2,DPYSL2,56.52627392828507,NeuroDev,0.13426450174246582,NeuroDisease,0.24568313088127375
SOX11,NREP,56.35145471845305,NeuroDisease,0.24233543301072427,NeuroDev,0.2582651922275263
SOX11,KLF7,56.27987236275953,NeuroDisease,0.24233543301072427,NeuroDisease,0.23073052413852846
SOD1,YBX1,56.23411146974723,HSA21TF,0.4228640436619747,GeneralTF,-0.1048253496486187
SOX11,RBFOX2,56.10588209118911,NeuroDisease,0.24233543301072427,NeuroDev,0.13426450174246582
YBX1,RTN1,55.83002137974913,GeneralTF,-0.1048253496486187,NeuroDev,0.6010365525964301
EEF1D,FABP7,55.45453875716757,GeneralTF,-0.3259285795636698,NeuroDev,-0.4843217615884844
RPL6,NR2F2,54.87060433431781,GeneralTF,-0.27235618326369987,NeuroDev,-0.6551987782534493
ETFB,NDN,54.84584425203108,NeuroDisease,-0.33637150728428455,NeuroDev,-0.22219042090481372
YBX1,SMARCB1,54.14310065527685,GeneralTF,-0.1048253496486187,NeuroDisease,-0.25686825111222134
PBX1,RBFOX2,53.69769603544024,NeuroDisease,0.44816668591407993,NeuroDev,0.13426450174246582
RPL6,SOX11,53.58878548411565,GeneralTF,-0.27235618326369987,NeuroDisease,0.24233543301072427
SOX4,ADGRG1,53.53216664312357,NeuroDisease,0.2328105103407569,NeuroDisease,0.015217186496907014
PAX6,ERBB4,53.40643383077192,NeuroDisease,-0.4211607405345091,NeuroDev,-0.7079398838372575
SOX11,NR2F2,53.40182990694208,NeuroDisease,0.24233543301072427,NeuroDev,-0.6551987782534493
SOX11,PBX1,53.14582502314576,NeuroDisease,0.24233543301072427,NeuroDisease,0.44816668591407993
NR2F1,PAX6,53.11787670209319,NeuroDisease,-0.2179795969734623,NeuroDisease,-0.4211607405345091
NR2F2,UNCX,52.8682364050376,NeuroDev,-0.6551987782534493,NeuroDev,-1.1363574306278021
SOX11,INA,52.40175957469894,NeuroDisease,0.24233543301072427,NeuroDev,0.44077324809760976
SOX4,SMARCB1,51.54052245020424,NeuroDisease,0.2328105103407569,NeuroDisease,-0.25686825111222134
RBFOX2,INA,51.20916416038372,NeuroDev,0.13426450174246582,NeuroDev,0.44077324809760976
RPL6,ADGRG1,51.206478410053215,GeneralTF,-0.27235618326369987,NeuroDisease,0.015217186496907014
SOX11,TCF4,50.78547556210734,NeuroDisease,0.24233543301072427,NeuroDisease,-0.1002560281082682
SOX4,PTPRD,50.6901578674055,NeuroDisease,0.2328105103407569,NeuroDev,-0.3577803053927319
ETFB,INA,50.67493997775022,NeuroDisease,-0.33637150728428455,NeuroDev,0.44077324809760976
RBFOX2,APLP1,50.01983526378194,NeuroDev,0.13426450174246582,NeuroDev,0.12935575740804148
