source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
AXIN1,MYC,True,True,False,True,True,False,2,IntAct:19131971;SPIKE:20399964,IntAct;SPIKE;Wang,post_translational,19131971;20399964,2,3,3
MYC,GSK3B,True,False,False,False,False,False,5,ELM:14563837;HPRD:11877389;HPRD:16247449;HPRD:8247524;ProtMapper:30134175,ELM;HPRD;ProtMapper;Sparser_ProtMapper,post_translational,11877389;14563837;16247449;30134175;8247524,5,4,3
GSK3B,MYC,True,True,True,True,False,True,72,ACSN:10671551;ACSN:11274345;ACSN:12040186;ACSN:12615961;ACSN:16039586;ACSN:16371461;ACSN:16611981;ACSN:17052453;ACSN:17444818;ACSN:18455992;ACSN:19575820;ACSN:19797085;ACSN:20080742;ACSN:20537194;ELM:14563837;HPRD-phos:18669648;HPRD-phos:19651622;HPRD-phos:20068231;HPRD-phos:2663470;HPRD:11877389;HPRD:16247449;HPRD:8247524;KEA:11018017;KEA:11877389;KEA:14563837;KEA:15150404;KEA:17081983;KEA:17570479;KEA:2663470;KEA:8247524;ProtMapper:11018017;ProtMapper:14563837;ProtMapper:15212693;ProtMapper:16023596;ProtMapper:16855632;ProtMapper:18408012;ProtMapper:18463697;ProtMapper:18679417;ProtMapper:20604938;ProtMapper:21113395;ProtMapper:21646472;ProtMapper:22461507;ProtMapper:22481935;ProtMapper:22893788;ProtMapper:23668310;ProtMapper:23964270;ProtMapper:24265759;ProtMapper:24662831;ProtMapper:25333250;ProtMapper:25647305;ProtMapper:26751215;ProtMapper:27684546;ProtMapper:29229669;ProtMapper:29258530;ProtMapper:30003124;ProtMapper:30037819;SIGNOR:11018017;SIGNOR:14563837;SIGNOR:16023596;SPIKE:20399964;SignaLink3:11018017;SignaLink3:14563837;SignaLink3:19131971;SignaLink3:21071413;SignaLink3:23331499;iPTMnet:14563837;iPTMnet:16023596;iPTMnet:18669648;iPTMnet:19651622;iPTMnet:20068231;iPTMnet:2663470;phosphoELM:14563837,ACSN;BEL-Large-Corpus_ProtMapper;ELM;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;MIMP;NetworKIN_KEA;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10671551;11018017;11274345;11877389;12040186;12615961;14563837;15150404;15212693;16023596;16039586;16247449;16371461;16611981;16855632;17052453;17081983;17444818;17570479;18408012;18455992;18463697;18669648;18679417;19131971;19575820;19651622;19797085;20068231;20080742;20399964;20537194;20604938;21071413;21113395;21646472;22461507;22481935;22893788;23331499;23668310;23964270;24265759;24662831;25333250;25647305;2663470;26751215;27684546;29229669;29258530;30003124;30037819;8247524,54,28,15
TP53,HIF1A,True,True,False,False,False,False,4,BioGRID:12124396;BioGRID:15629713;HPRD:12124396;HPRD:9537326,BioGRID;HPRD;Wang,post_translational,12124396;15629713;9537326,3,3,3
HIF1A,TP53,True,True,False,True,True,False,5,BioGRID:12124396;BioGRID:15629713;HPRD:12124396;HPRD:9537326;SPIKE:16882692,BioGRID;HPRD;SPIKE;Wang,post_translational,12124396;15629713;16882692;9537326,4,4,4
ATM,PLK1,True,False,True,True,False,True,1,SPIKE:12147700,SPIKE,post_translational,12147700,1,1,1
ATR,PLK1,True,False,True,True,False,True,1,SPIKE:12147700,SPIKE,post_translational,12147700,1,1,1
MAPK3,MAP2K2,True,True,False,False,False,False,11,CancerCellMap:11251083;CancerCellMap:8226933;HPRD:7687743;HPRD:8226933;HPRD:8626767;InnateDB:11134045;Lit-BM-17:8226933;Lit-BM-17:8626767;Lit-BM-17:9006895;NetPath:8226933;ProtMapper:19541618,CancerCellMap;HPRD;InnateDB;Lit-BM-17;NCI-PID_ProtMapper;NetPath;PhosphoPoint;ProtMapper;Wang,post_translational,11134045;11251083;19541618;7687743;8226933;8626767;9006895,7,9,8
MAP2K2,MAPK3,True,True,False,True,True,False,98,CancerCellMap:11251083;CancerCellMap:8226933;HPRD-phos:15580310;HPRD-phos:16497976;HPRD-phos:17389395;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:18707149;HPRD-phos:19651622;HPRD-phos:19901323;HPRD-phos:20068231;HPRD-phos:7687743;HPRD-phos:8626767;HPRD:7687743;HPRD:8226933;HPRD:8626767;InnateDB:11134045;KEA:11971971;KEA:15466476;KEA:16464493;KEA:17081983;KEA:17192257;KEA:7687743;KEA:7867743;KEA:8626767;KEA:93330262;Lit-BM-17:8226933;Lit-BM-17:8626767;Lit-BM-17:9006895;Macrophage:17906627;NetPath:8226933;ProtMapper:10746662;ProtMapper:11118451;ProtMapper:11136732;ProtMapper:11704645;ProtMapper:11948414;ProtMapper:11986622;ProtMapper:12750173;ProtMapper:12920017;ProtMapper:12932319;ProtMapper:1381507;ProtMapper:1411546;ProtMapper:15212693;ProtMapper:15342917;ProtMapper:15466214;ProtMapper:15811950;ProtMapper:15851026;ProtMapper:17272394;ProtMapper:17569879;ProtMapper:18799465;ProtMapper:19219045;ProtMapper:19541618;ProtMapper:19933846;ProtMapper:26987942;ProtMapper:7559390;ProtMapper:7898932;ProtMapper:8223433;ProtMapper:8376945;ProtMapper:9447970;ProtMapper:9694850;ProtMapper:9731057;SIGNOR:11730323;SIGNOR:1411546;SPIKE:11251083;SPIKE:16887817;SPIKE:8226933;SignaLink3:11242034;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499;SignaLink3:7687743;SignaLink3:8226933;SignaLink3:8626767;dbPTM:15951569;dbPTM:17081983;dbPTM:17192257;dbPTM:17389395;dbPTM:18083107;dbPTM:18669648;dbPTM:18691976;dbPTM:18983981;dbPTM:19369195;dbPTM:19494114;dbPTM:19534553;dbPTM:19690332;iPTMnet:1411546;iPTMnet:15580310;iPTMnet:16497976;iPTMnet:17389395;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:18707149;iPTMnet:19651622;iPTMnet:19901323;iPTMnet:20068231;iPTMnet:7687743;iPTMnet:8226933;iPTMnet:8626767,BEL-Large-Corpus_ProtMapper;CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;KEGG-MEDICUS;Lit-BM-17;MIMP;Macrophage;NCI-PID_ProtMapper;NetPath;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;ProtMapper;REACH_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;dbPTM;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10746662;11118451;11134045;11136732;11242034;11251083;11704645;11730323;11948414;11971971;11986622;12750173;12920017;12932319;1381507;1411546;15212693;15342917;15466214;15466476;15580310;15811950;15851026;15951569;16464493;16497976;16887817;17081983;17192257;17272394;17389395;17569879;17906627;18083107;18669648;18691976;18707149;18799465;18983981;18988627;19219045;19369195;19494114;19534553;19541618;19651622;19690332;19901323;19933846;20068231;21071413;23331499;26987942;7559390;7687743;7867743;7898932;8223433;8226933;8376945;8626767;9006895;93330262;9447970;9694850;9731057,66,30,19
MAPK1,MAP2K1,True,True,True,False,False,False,45,CancerCellMap:11251083;CancerCellMap:12644307;CancerCellMap:8226933;HPRD-phos:12594221;HPRD-phos:8157000;HPRD:11134045;HPRD:11352917;HPRD:11741894;HPRD:11823456;HPRD:12594221;HPRD:8157000;IntAct:17255949;IntAct:23241949;KEA:10567369;KEA:12594221;KEA:8157000;KEA:9351825;Lit-BM-17:10757792;Lit-BM-17:11266467;Lit-BM-17:11279118;Lit-BM-17:11352917;Lit-BM-17:11823456;Lit-BM-17:12697810;Lit-BM-17:12788955;Lit-BM-17:17255949;Lit-BM-17:19058874;Lit-BM-17:21336309;Lit-BM-17:21675959;Lit-BM-17:23241949;Lit-BM-17:24623782;NetPath:11823456;NetPath:8670897;ProtMapper:10567369;ProtMapper:14993270;ProtMapper:17254543;ProtMapper:17928366;ProtMapper:19219045;ProtMapper:19541618;ProtMapper:8013650;SIGNOR:10567369;SIGNOR:14993270;iPTMnet:10567369;iPTMnet:12594221;iPTMnet:8157000;phosphoELM:10567369,CancerCellMap;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;IntAct;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoNetworks;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;RLIMS-P_ProtMapper;Reactome_ProtMapper;SIGNOR;SIGNOR_ProtMapper;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10567369;10757792;11134045;11251083;11266467;11279118;11352917;11741894;11823456;12594221;12644307;12697810;12788955;14993270;17254543;17255949;17928366;19058874;19219045;19541618;21336309;21675959;23241949;24623782;8013650;8157000;8226933;8670897;9351825,29,28,15
