source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
PRKACA,MAPK3,True,True,False,True,True,False,5,ProtMapper:11704645;ProtMapper:12598525;ProtMapper:8903320;ProtMapper:9160888;SPIKE:19074803,NCI-PID_ProtMapper;ProtMapper;SPIKE;Wang,post_translational,11704645;12598525;19074803;8903320;9160888,5,4,3
E2F4,CDK1,True,False,True,True,False,True,3,ACSN:15510213;ACSN:16135806;SPIKE:15510213,ACSN;SPIKE;Wang,post_translational,15510213;16135806,2,3,3
AURKA,TP53,True,True,True,True,True,True,47,HPRD:12198151;KEA:10884347;KEA:12064478;KEA:14702041;KEA:15469940;KEA:16552184;KEA:1956339;KEA:92065884;Lit-BM-17:12198151;Lit-BM-17:14702041;Lit-BM-17:23201157;Lit-BM-17:26186194;ProtMapper:14702041;ProtMapper:15469940;ProtMapper:15749021;ProtMapper:17999753;ProtMapper:18974145;ProtMapper:21502403;ProtMapper:22350019;ProtMapper:22396649;ProtMapper:22852086;ProtMapper:22864622;ProtMapper:23201157;ProtMapper:23565200;ProtMapper:24089029;ProtMapper:25217103;ProtMapper:25333414;ProtMapper:25398437;ProtMapper:25634113;ProtMapper:25848977;ProtMapper:27933271;ProtMapper:28043820;ProtMapper:29455673;ProtMapper:30266789;SIGNOR:15469940;SIGNOR:23201157;SIGNOR:24173284;SPIKE:17259342;dbPTM:10884347;dbPTM:14702041;dbPTM:17287340;dbPTM:19413330;iPTMnet:14702041;iPTMnet:15469940;iPTMnet:23201157;phosphoELM:14702041;phosphoELM:15469940,HPRD;HPRD_MIMP;KEA;Lit-BM-17;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;REACH_ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;dbPTM;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10884347;12064478;12198151;14702041;15469940;15749021;16552184;17259342;17287340;17999753;18974145;19413330;1956339;21502403;22350019;22396649;22852086;22864622;23201157;23565200;24089029;24173284;25217103;25333414;25398437;25634113;25848977;26186194;27933271;28043820;29455673;30266789;92065884,33,24,12
TP53,AURKA,True,False,True,False,False,False,5,HPRD:12198151;Lit-BM-17:12198151;Lit-BM-17:14702041;Lit-BM-17:23201157;Lit-BM-17:26186194,HPRD;Lit-BM-17;Wang,post_translational,12198151;14702041;23201157;26186194,4,3,3
CCND1,CDK6,True,True,False,True,True,False,14,HPRD:11739795;HPRD:15232106;HPRD:17517622;HPRD:19075005;IntAct:15232106;IntAct:24855949;Lit-BM-17:10580009;Lit-BM-17:11160398;Lit-BM-17:11360184;Lit-BM-17:15232106;Lit-BM-17:17517622;Lit-BM-17:24855949;Lit-BM-17:9178893;SPIKE:17517622,HPRD;IntAct;Lit-BM-17;SPIKE;Wang,post_translational,10580009;11160398;11360184;11739795;15232106;17517622;19075005;24855949;9178893,9,5,5
CDK6,CCND1,True,False,False,False,False,False,13,HPRD:11739795;HPRD:15232106;HPRD:17517622;HPRD:19075005;IntAct:15232106;IntAct:24855949;Lit-BM-17:10580009;Lit-BM-17:11160398;Lit-BM-17:11360184;Lit-BM-17:15232106;Lit-BM-17:17517622;Lit-BM-17:24855949;Lit-BM-17:9178893,HPRD;IntAct;Lit-BM-17;PhosphoPoint;Wang,post_translational,10580009;11160398;11360184;11739795;15232106;17517622;19075005;24855949;9178893,9,5,5
MAPK3,SMAD3,True,True,True,True,True,False,13,ACSN:10197981;ACSN:12193595;ACSN:15241418;ACSN:16156666;ACSN:18775330;ACSN:8226933;ACSN:8388392;ACSN:9604935;ProtMapper:10197981;SIGNOR:10197981;SignaLink3:10197981;SignaLink3:23331499;iPTMnet:24080014,ACSN;NCI-PID_ProtMapper;ProtMapper;SIGNOR;SignaLink3;iPTMnet,post_translational,10197981;12193595;15241418;16156666;18775330;23331499;24080014;8226933;8388392;9604935,10,6,5
MYC,SMAD3,True,True,True,True,True,False,6,HPRD:11804592;Lit-BM-17:11804592;NetPath:11804592;SIGNOR:11804592;SignaLink3:11804592;SignaLink3:23331499,HPRD;Lit-BM-17;NetPath;SIGNOR;SignaLink3;Wang,post_translational,11804592;23331499,2,6,6
SMAD3,SMAD4,True,True,False,True,True,False,96,BioGRID:20142324;BioGRID:22310290;HPRD:10995777;HPRD:15231748;HPRD:15350224;HPRD:9311995;InnateDB:10092624;InnateDB:17591701;InnateDB:18729074;IntAct:15231748;IntAct:15350224;IntAct:18729074;IntAct:19135894;IntAct:20211142;IntAct:21297662;IntAct:21988832;IntAct:22045334;IntAct:22442258;IntAct:25502805;IntAct:25910212;IntAct:27107012;IntAct:29892012;IntAct:29997244;IntAct:31515488;IntAct:32296183;Lit-BM-17:10092624;Lit-BM-17:10531362;Lit-BM-17:10878024;Lit-BM-17:10995777;Lit-BM-17:11114293;Lit-BM-17:11927552;Lit-BM-17:12167862;Lit-BM-17:12419246;Lit-BM-17:12543979;Lit-BM-17:12732634;Lit-BM-17:12794086;Lit-BM-17:12917407;Lit-BM-17:15084259;Lit-BM-17:15231748;Lit-BM-17:15350224;Lit-BM-17:15467747;Lit-BM-17:15588252;Lit-BM-17:15761153;Lit-BM-17:15922743;Lit-BM-17:17283070;Lit-BM-17:17591701;Lit-BM-17:18729074;Lit-BM-17:19135894;Lit-BM-17:19139564;Lit-BM-17:19768112;Lit-BM-17:19917253;Lit-BM-17:20142324;Lit-BM-17:20564330;Lit-BM-17:21532621;Lit-BM-17:21597466;Lit-BM-17:21988832;Lit-BM-17:22045334;Lit-BM-17:22310290;Lit-BM-17:22442258;Lit-BM-17:23788427;Lit-BM-17:24157709;Lit-BM-17:24382352;Lit-BM-17:24584437;Lit-BM-17:25514493;Lit-BM-17:25609649;Lit-BM-17:26555259;Lit-BM-17:28115363;Lit-BM-17:9111321;Lit-BM-17:9311995;Lit-BM-17:9892009;MPPI:9111321;NetPath:10531362;NetPath:10942775;NetPath:12150994;NetPath:16714330;NetPath:17469184;NetPath:18568018;NetPath:18923419;NetPath:9311995;NetPath:9679060;NetPath:9732876;SIGNOR:9843571;SignaLink3:10531362;SignaLink3:10878024;SignaLink3:10995777;SignaLink3:12794086;SignaLink3:12957874;SignaLink3:15231748;SignaLink3:15350224;SignaLink3:18988627;SignaLink3:19135894;SignaLink3:21071413;SignaLink3:21532621;SignaLink3:22045334;SignaLink3:23331499;SignaLink3:9311995,BioGRID;HPRD;HuRI;InnateDB;IntAct;KEGG-MEDICUS;Lit-BM-17;MPPI;NetPath;SIGNOR;SignaLink3;Wang,post_translational,10092624;10531362;10878024;10942775;10995777;11114293;11927552;12150994;12167862;12419246;12543979;12732634;12794086;12917407;12957874;15084259;15231748;15350224;15467747;15588252;15761153;15922743;16714330;17283070;17469184;17591701;18568018;18729074;18923419;18988627;19135894;19139564;19768112;19917253;20142324;20211142;20564330;21071413;21297662;21532621;21597466;21988832;22045334;22310290;22442258;23331499;23788427;24157709;24382352;24584437;25502805;25514493;25609649;25910212;26555259;27107012;28115363;29892012;29997244;31515488;32296183;9111321;9311995;9679060;9732876;9843571;9892009,67,12,12
SMAD4,SMAD3,True,True,False,False,False,False,81,BioGRID:20142324;BioGRID:22310290;HPRD:10995777;HPRD:15231748;HPRD:15350224;HPRD:9311995;InnateDB:10092624;InnateDB:17591701;InnateDB:18729074;IntAct:15231748;IntAct:15350224;IntAct:18729074;IntAct:19135894;IntAct:20211142;IntAct:21297662;IntAct:21988832;IntAct:22045334;IntAct:22442258;IntAct:25502805;IntAct:25910212;IntAct:27107012;IntAct:29892012;IntAct:29997244;IntAct:31515488;IntAct:32296183;Lit-BM-17:10092624;Lit-BM-17:10531362;Lit-BM-17:10878024;Lit-BM-17:10995777;Lit-BM-17:11114293;Lit-BM-17:11927552;Lit-BM-17:12167862;Lit-BM-17:12419246;Lit-BM-17:12543979;Lit-BM-17:12732634;Lit-BM-17:12794086;Lit-BM-17:12917407;Lit-BM-17:15084259;Lit-BM-17:15231748;Lit-BM-17:15350224;Lit-BM-17:15467747;Lit-BM-17:15588252;Lit-BM-17:15761153;Lit-BM-17:15922743;Lit-BM-17:17283070;Lit-BM-17:17591701;Lit-BM-17:18729074;Lit-BM-17:19135894;Lit-BM-17:19139564;Lit-BM-17:19768112;Lit-BM-17:19917253;Lit-BM-17:20142324;Lit-BM-17:20564330;Lit-BM-17:21532621;Lit-BM-17:21597466;Lit-BM-17:21988832;Lit-BM-17:22045334;Lit-BM-17:22310290;Lit-BM-17:22442258;Lit-BM-17:23788427;Lit-BM-17:24157709;Lit-BM-17:24382352;Lit-BM-17:24584437;Lit-BM-17:25514493;Lit-BM-17:25609649;Lit-BM-17:26555259;Lit-BM-17:28115363;Lit-BM-17:9111321;Lit-BM-17:9311995;Lit-BM-17:9892009;MPPI:9111321;NetPath:10531362;NetPath:10942775;NetPath:12150994;NetPath:16714330;NetPath:17469184;NetPath:18568018;NetPath:18923419;NetPath:9311995;NetPath:9679060;NetPath:9732876,BioGRID;HPRD;HuRI;InnateDB;IntAct;KEGG-MEDICUS;Lit-BM-17;MPPI;NetPath;Wang,post_translational,10092624;10531362;10878024;10942775;10995777;11114293;11927552;12150994;12167862;12419246;12543979;12732634;12794086;12917407;15084259;15231748;15350224;15467747;15588252;15761153;15922743;16714330;17283070;17469184;17591701;18568018;18729074;18923419;19135894;19139564;19768112;19917253;20142324;20211142;20564330;21297662;21532621;21597466;21988832;22045334;22310290;22442258;23788427;24157709;24382352;24584437;25502805;25514493;25609649;25910212;26555259;27107012;28115363;29892012;29997244;31515488;32296183;9111321;9311995;9679060;9732876;9892009,62,10,10
