source,target,is_directed,is_stimulation,is_inhibition,consensus_direction,consensus_stimulation,consensus_inhibition,curation_effort,references,sources,type,references_stripped,n_references,n_sources,n_primary_sources
STAT3,EGFR,True,False,False,False,False,False,30,BioGRID:18258752;BioGRID:20145033;CancerCellMap:12070153;HPRD:12873986;InnateDB:12873986;InnateDB:14963038;InnateDB:15284024;InnateDB:15950906;IntAct:14966128;IntAct:24135280;IntAct:24658140;IntAct:25241761;IntAct:31980649;Lit-BM-17:10358079;Lit-BM-17:14966128;Lit-BM-17:15284024;Lit-BM-17:15485908;Lit-BM-17:15657067;Lit-BM-17:15950906;Lit-BM-17:18258752;Lit-BM-17:21573184;Lit-BM-17:23956138;Lit-BM-17:24135280;Lit-BM-17:24189400;Lit-BM-17:24658140;Lit-BM-17:25241761;Lit-BM-17:25402006;Lit-BM-17:9756944;NetPath:20032199;ProtMapper:29560131,BioGRID;CancerCellMap;HPRD;InnateDB;IntAct;Lit-BM-17;NetPath;ProtMapper;Sparser_ProtMapper;Wang,post_translational,10358079;12070153;12873986;14963038;14966128;15284024;15485908;15657067;15950906;18258752;20032199;20145033;21573184;23956138;24135280;24189400;24658140;25241761;25402006;29560131;31980649;9756944,22,10,9
AKT1,SMAD3,True,True,True,True,True,False,11,HPRD:16362038;Lit-BM-17:16362038;Lit-BM-17:25241761;ProtMapper:26297431;SIGNOR:15048128;SPIKE:15104092;SignaLink3:15048128;SignaLink3:16362038;SignaLink3:18988627;SignaLink3:21071413;SignaLink3:23331499,HPRD;Lit-BM-17;PhosphoSite_ProtMapper;ProtMapper;RLIMS-P_ProtMapper;SIGNOR;SPIKE;SignaLink3;Wang,post_translational,15048128;15104092;16362038;18988627;21071413;23331499;25241761;26297431,8,9,7
MAPK1,STAT3,True,True,False,True,True,False,55,Adhesome:15979846;HPRD-phos:10446219;HPRD-phos:10521505;HPRD-phos:11350938;HPRD-phos:12576423;HPRD-phos:12763138;HPRD-phos:14551213;HPRD-phos:18491316;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:9343414;HPRD-phos:9872331;HPRD:10446219;HPRD:10521505;HPRD:11350938;HPRD:12576423;HPRD:12763138;HPRD:14551213;HPRD:9343414;HPRD:9872331;InnateDB:15979846;KEA:10446219;KEA:10521505;KEA:11335711;KEA:11350938;KEA:12576423;KEA:12763138;KEA:14551213;KEA:15465816;KEA:9343414;KEA:9872331;NetPath:11780390;ProtMapper:10521505;ProtMapper:11404481;ProtMapper:9343414;SPIKE:12681450;SPIKE:18448488;iPTMnet:10446219;iPTMnet:10521505;iPTMnet:11350938;iPTMnet:12576423;iPTMnet:12763138;iPTMnet:14551213;iPTMnet:18491316;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:25584415;iPTMnet:9343414;iPTMnet:9872331,Adhesome;BEL-Large-Corpus_ProtMapper;HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;MIMP;NCI-PID_ProtMapper;NetPath;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SPIKE;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10446219;10521505;11335711;11350938;11404481;11780390;12576423;12681450;12763138;14551213;15465816;15979846;18448488;18491316;18669648;18691976;19413330;20058876;20068231;25584415;9343414;9872331,22,20,12
MAPK3,STAT3,True,True,False,True,True,False,67,HPRD-phos:10446219;HPRD-phos:10521505;HPRD-phos:11350938;HPRD-phos:12576423;HPRD-phos:12763138;HPRD-phos:14551213;HPRD-phos:18491316;HPRD-phos:18669648;HPRD-phos:18691976;HPRD-phos:19413330;HPRD-phos:20058876;HPRD-phos:20068231;HPRD-phos:9343414;HPRD-phos:9872331;HPRD:10446219;HPRD:10521505;HPRD:11350938;HPRD:12576423;HPRD:12763138;HPRD:14551213;HPRD:9343414;HPRD:9872331;KEA:10446219;KEA:10521505;KEA:11335711;KEA:11350938;KEA:12576423;KEA:12763138;KEA:14551213;KEA:15465816;KEA:9343414;KEA:9872331;ProtMapper:11404481;ProtMapper:14551213;ProtMapper:19723038;ProtMapper:9343414;SIGNOR:14551213;SIGNOR:19723038;SPIKE:12681450;SPIKE:18448488;SignaLink3:10417333;SignaLink3:10446219;SignaLink3:10521505;SignaLink3:11350938;SignaLink3:12576423;SignaLink3:12763138;SignaLink3:14551213;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9343414;SignaLink3:9872331;iPTMnet:10446219;iPTMnet:10521505;iPTMnet:11350938;iPTMnet:12576423;iPTMnet:12763138;iPTMnet:14551213;iPTMnet:18491316;iPTMnet:18669648;iPTMnet:18691976;iPTMnet:19413330;iPTMnet:19723038;iPTMnet:20058876;iPTMnet:20068231;iPTMnet:25584415;iPTMnet:9343414;iPTMnet:9872331,HPRD;HPRD-phos;HPRD_KEA;HPRD_MIMP;KEA;Kinexus_KEA;MIMP;NCI-PID_ProtMapper;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;SignaLink3;Wang;iPTMnet;phosphoELM_MIMP,post_translational,10417333;10446219;10521505;11335711;11350938;11404481;12576423;12681450;12763138;14551213;15465816;18448488;18491316;18669648;18691976;18988627;19413330;19723038;20058876;20068231;23331499;25584415;9343414;9872331,24,19,11
SRC,CDC42,True,True,False,True,True,False,8,KEA:14506284;PhosphoSite:14506284;ProtMapper:14506284;ProtMapper:26816343;SIGNOR:14506284;SPIKE:9626657;iPTMnet:14506284;phosphoELM:14506284,KEA;Kinexus_KEA;MIMP;PhosphoSite;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM;phosphoELM_KEA;phosphoELM_MIMP,post_translational,14506284;26816343;9626657,3,16,9
SRC,HRAS,True,True,True,True,True,False,10,Adhesome:12695509;Adhesome:9020108;DOMINO:12695509;HPRD:12695509;PhosphoSite:25157176;PhosphoSite:33413561;ProtMapper:25157176;SIGNOR:25157176;SPIKE:9626657;iPTMnet:25157176,Adhesome;DOMINO;HPRD;KEGG-MEDICUS;PhosphoPoint;PhosphoSite;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper;SIGNOR;SIGNOR_ProtMapper;SPIKE;Wang;iPTMnet,post_translational,12695509;25157176;33413561;9020108;9626657,5,14,11
RAC1,STAT3,True,True,False,True,True,False,9,Adhesome:11021801;CancerCellMap:11021801;HPRD:11021801;Lit-BM-17:11021801;NetPath:11021801;ProtMapper:26430964;SPIKE:11021801;SignaLink3:11021801;SignaLink3:23331499,Adhesome;CancerCellMap;HPRD;Lit-BM-17;NetPath;ProtMapper;SPIKE;SignaLink3;Sparser_ProtMapper;Wang,post_translational,11021801;23331499;26430964,3,10,9
AKT1,PDK1,True,False,False,False,False,False,1,InnateDB:9512493,InnateDB;PhosphoPoint;PhosphoSite_ProtMapper;PhosphoSite_noref;ProtMapper,post_translational,9512493,1,5,3
PDK1,AKT1,True,True,False,True,True,False,24,HPRD-phos:11278835;InnateDB:9512493;KEA:10226025;KEA:10833263;KEA:11087733;KEA:11278835;KEA:11313365;KEA:11445557;KEA:12149249;KEA:12176337;KEA:12682057;KEA:14500673;KEA:15364915;KEA:15718470;KEA:15743829;KEA:15899889;KEA:9368760;KEA:9736715;KEA:9868760;ProtMapper:11825911;ProtMapper:19897009;ProtMapper:24012393;SPIKE:16341064;iPTMnet:11278835,HPRD-phos;HPRD_KEA;HPRD_MIMP;InnateDB;KEA;Kinexus_KEA;MIMP;PhosphoPoint;PhosphoSite_KEA;PhosphoSite_MIMP;ProtMapper;RLIMS-P_ProtMapper;SPIKE;Sparser_ProtMapper;Wang;iPTMnet;phosphoELM_KEA;phosphoELM_MIMP,post_translational,10226025;10833263;11087733;11278835;11313365;11445557;11825911;12149249;12176337;12682057;14500673;15364915;15718470;15743829;15899889;16341064;19897009;24012393;9368760;9512493;9736715;9868760,22,18,9
BACH1,BRCA1,True,True,False,True,True,False,43,BioGRID:18717574;BioGRID:22032289;BioGRID:28911102;DOMINO:14576432;HPRD:11301010;HPRD:11877378;HPRD:15242590;IntAct:14576432;IntAct:15125843;IntAct:15133502;IntAct:17525340;IntAct:17581638;IntAct:18285836;IntAct:19369211;IntAct:21240188;IntAct:22792074;LMPID:14576433;LMPID:15125843;LMPID:15133502;LMPID:15133503;LMPID:15242590;Lit-BM-17:11877378;Lit-BM-17:14576432;Lit-BM-17:14576433;Lit-BM-17:14578343;Lit-BM-17:15133502;Lit-BM-17:15242590;Lit-BM-17:17525340;Lit-BM-17:17525341;Lit-BM-17:17525342;Lit-BM-17:17581638;Lit-BM-17:17596542;Lit-BM-17:19452558;Lit-BM-17:20173781;Lit-BM-17:20681793;Lit-BM-17:21240188;Lit-BM-17:22032289;Lit-BM-17:25184681;Lit-BM-17:27399284;SIGNOR:11301010;SPIKE:14576432;SPIKE:16713569;SPIKE:18369654,BioGRID;DOMINO;HPRD;IntAct;LMPID;Lit-BM-17;SIGNOR;SPIKE,post_translational,11301010;11877378;14576432;14576433;14578343;15125843;15133502;15133503;15242590;16713569;17525340;17525341;17525342;17581638;17596542;18285836;18369654;18717574;19369211;19452558;20173781;20681793;21240188;22032289;22792074;25184681;27399284;28911102,28,8,8
JAK1,IFNAR2,True,False,False,False,False,False,4,Cellinker:16551269;HPRD:12133952;InnateDB:12133952;Macrophage:9334213,Cellinker;HPRD;InnateDB;Macrophage;PhosphoPoint,post_translational,12133952;16551269;9334213,3,5,5
IFNAR2,JAK1,True,True,False,True,True,False,8,HPRD:12133952;InnateDB:12133952;Macrophage:9334213;SignaLink3:12133952;SignaLink3:18988627;SignaLink3:23180781;SignaLink3:23331499;SignaLink3:7988557,HPRD;InnateDB;InnateDB_SignaLink3;Macrophage;SignaLink3;Wang,post_translational,12133952;18988627;23180781;23331499;7988557;9334213,6,6,5
IFNAR1,JAK1,True,True,False,True,True,False,26,DIP:9334213;InnateDB:8524272;Lit-BM-17:9334213;SignaLink3:10022928;SignaLink3:10542297;SignaLink3:10982844;SignaLink3:11694501;SignaLink3:15120645;SignaLink3:15312780;SignaLink3:15449939;SignaLink3:16171819;SignaLink3:16987978;SignaLink3:17351669;SignaLink3:17969444;SignaLink3:18508557;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:29145629;SignaLink3:7526154;SignaLink3:8197134;SignaLink3:8232552;SignaLink3:8605876;SignaLink3:8621447;SignaLink3:8702790;SignaLink3:8943354;SignaLink3:9334213,DIP;InnateDB;Lit-BM-17;Reactome_SignaLink3;SignaLink3;Wang,post_translational,10022928;10542297;10982844;11694501;15120645;15312780;15449939;16171819;16987978;17351669;17969444;18508557;23331499;24243840;29145629;7526154;8197134;8232552;8524272;8605876;8621447;8702790;8943354;9334213,24,6,5
JAK1,IFNAR1,True,False,False,False,False,False,5,Cellinker:16551269;DIP:9334213;InnateDB:8524272;Lit-BM-17:9334213;ProtMapper:25386349,Cellinker;DIP;InnateDB;Li2012;Lit-BM-17;ProtMapper;REACH_ProtMapper,post_translational,16551269;25386349;8524272;9334213,4,7,6
IFNAR1,TYK2,True,True,False,False,False,False,21,BioGRID:9733772;DIP:24704786;DIP:7526154;HPRD:95059042;HPRD:9677371;HPRD:9733772;InnateDB:14647450;InnateDB:15337770;InnateDB:7559568;InnateDB:8524272;InnateDB:8605876;InnateDB:8702790;InnateDB:9461596;InnateDB:9733772;LMPID:24704786;MPPI:8628273;Macrophage:8628273;SignaLink3:15120645;SignaLink3:23331499;SignaLink3:24243840;SignaLink3:29145629,BioGRID;DIP;HPRD;InnateDB;LMPID;MPPI;Macrophage;Reactome_SignaLink3;SignaLink3;Wang,post_translational,14647450;15120645;15337770;23331499;24243840;24704786;29145629;7526154;7559568;8524272;8605876;8628273;8702790;9461596;95059042;9677371;9733772,17,10,9
